file,label,Tachometer_harmonic_1_amplitude,Tachometer_harmonic_2_amplitude,Tachometer_harmonic_3_amplitude,Tachometer_harmonic_4_amplitude,Tachometer_harmonic_5_amplitude,Tachometer_harmonic_6_amplitude,Tachometer_harmonic_7_amplitude,Tachometer_harmonic_8_amplitude,Tachometer_harmonic_9_amplitude,Tachometer_harmonic_10_amplitude,Motor_harmonic_1_amplitude,Motor_harmonic_2_amplitude,Motor_harmonic_3_amplitude,Motor_harmonic_4_amplitude,Motor_harmonic_5_amplitude,Motor_harmonic_6_amplitude,Motor_harmonic_7_amplitude,Motor_harmonic_8_amplitude,Motor_harmonic_9_amplitude,Motor_harmonic_10_amplitude,Bearing 1 Z_harmonic_1_amplitude,Bearing 1 Z_harmonic_2_amplitude,Bearing 1 Z_harmonic_3_amplitude,Bearing 1 Z_harmonic_4_amplitude,Bearing 1 Z_harmonic_5_amplitude,Bearing 1 Z_harmonic_6_amplitude,Bearing 1 Z_harmonic_7_amplitude,Bearing 1 Z_harmonic_8_amplitude,Bearing 1 Z_harmonic_9_amplitude,Bearing 1 Z_harmonic_10_amplitude,Bearing 1 Y_harmonic_1_amplitude,Bearing 1 Y_harmonic_2_amplitude,Bearing 1 Y_harmonic_3_amplitude,Bearing 1 Y_harmonic_4_amplitude,Bearing 1 Y_harmonic_5_amplitude,Bearing 1 Y_harmonic_6_amplitude,Bearing 1 Y_harmonic_7_amplitude,Bearing 1 Y_harmonic_8_amplitude,Bearing 1 Y_harmonic_9_amplitude,Bearing 1 Y_harmonic_10_amplitude,Bearing 1 X_harmonic_1_amplitude,Bearing 1 X_harmonic_2_amplitude,Bearing 1 X_harmonic_3_amplitude,Bearing 1 X_harmonic_4_amplitude,Bearing 1 X_harmonic_5_amplitude,Bearing 1 X_harmonic_6_amplitude,Bearing 1 X_harmonic_7_amplitude,Bearing 1 X_harmonic_8_amplitude,Bearing 1 X_harmonic_9_amplitude,Bearing 1 X_harmonic_10_amplitude,Bearing 2 Z_harmonic_1_amplitude,Bearing 2 Z_harmonic_2_amplitude,Bearing 2 Z_harmonic_3_amplitude,Bearing 2 Z_harmonic_4_amplitude,Bearing 2 Z_harmonic_5_amplitude,Bearing 2 Z_harmonic_6_amplitude,Bearing 2 Z_harmonic_7_amplitude,Bearing 2 Z_harmonic_8_amplitude,Bearing 2 Z_harmonic_9_amplitude,Bearing 2 Z_harmonic_10_amplitude,Bearing 2 Y_harmonic_1_amplitude,Bearing 2 Y_harmonic_2_amplitude,Bearing 2 Y_harmonic_3_amplitude,Bearing 2 Y_harmonic_4_amplitude,Bearing 2 Y_harmonic_5_amplitude,Bearing 2 Y_harmonic_6_amplitude,Bearing 2 Y_harmonic_7_amplitude,Bearing 2 Y_harmonic_8_amplitude,Bearing 2 Y_harmonic_9_amplitude,Bearing 2 Y_harmonic_10_amplitude,Bearing 2 X_harmonic_1_amplitude,Bearing 2 X_harmonic_2_amplitude,Bearing 2 X_harmonic_3_amplitude,Bearing 2 X_harmonic_4_amplitude,Bearing 2 X_harmonic_5_amplitude,Bearing 2 X_harmonic_6_amplitude,Bearing 2 X_harmonic_7_amplitude,Bearing 2 X_harmonic_8_amplitude,Bearing 2 X_harmonic_9_amplitude,Bearing 2 X_harmonic_10_amplitude,Gearbox_harmonic_1_amplitude,Gearbox_harmonic_2_amplitude,Gearbox_harmonic_3_amplitude,Gearbox_harmonic_4_amplitude,Gearbox_harmonic_5_amplitude,Gearbox_harmonic_6_amplitude,Gearbox_harmonic_7_amplitude,Gearbox_harmonic_8_amplitude,Gearbox_harmonic_9_amplitude,Gearbox_harmonic_10_amplitude
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 1.plk,1,5.805651663860336e-06,4.876649336834954e-06,2.570425952507205e-06,1.0139391621560905e-06,2.0639333814630324e-06,1.702415617192333e-06,2.251124095095297e-06,2.6657077458209136e-06,1.6670181624186718e-06,2.6873469291672187e-06,2.9158464464763682e-05,6.160458008495461e-05,6.339936857272611e-06,1.3532999296045242e-05,8.13100745890434e-06,1.6183868710965553e-05,1.600385662696622e-05,4.865309391567827e-06,9.370000502329425e-06,3.1371200790843824e-06,4.693486676222805e-05,1.862937460459316e-05,6.378538468571523e-06,3.277984432833055e-06,8.88663187485481e-06,9.467676553303138e-06,3.9876399422561826e-06,1.0012437995962153e-05,1.0050858212004448e-05,7.807290375119877e-06,3.548056705566033e-05,3.3728624770505946e-05,1.9630235944962693e-06,5.572636490640274e-06,7.3197597307563945e-06,7.808575418803928e-06,1.0309002751292628e-05,5.612867812796535e-06,1.1683091462684331e-05,6.420606638987782e-06,1.5022453028652855e-05,2.609769692393976e-05,1.7975535421241065e-05,1.5377747447113953e-05,1.489672538569228e-05,2.194816418901384e-05,9.417422077577368e-06,7.096418403742755e-06,5.543707031135633e-06,8.239074551673125e-06,4.178362491513797e-05,0.0001327860867244408,1.2846664590273215e-05,5.190795162484106e-05,8.292119924218341e-05,0.00020745685239489912,9.090140810836927e-05,0.0002657234158310685,6.154034415468577e-05,0.00010268542851800692,4.266271757029675e-05,6.516193619618466e-05,9.348108741957625e-05,7.608880821821803e-05,8.503699947302469e-05,0.00011789296702888214,3.661110740586695e-05,0.0001282841809331233,7.120979249402654e-05,3.461501470006103e-05,4.3879208236237266e-05,0.00010684569847872942,0.00010445370110639246,9.852293374902224e-05,8.427102698159326e-05,0.00012241563979606057,7.94663544083749e-05,0.00011254363530015078,7.524441523662231e-05,0.00011307743839938984,4.5624838315446984e-05,2.2390226462276758e-05,1.3611419452573195e-05,2.1081973533264847e-05,5.909475319126217e-06,8.518878428714094e-06,1.3115320930180687e-05,4.2812779192696115e-06,8.329349089786842e-06,4.70429929172915e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 10.plk,1,2.349582725808071e-05,1.5226207184258403e-05,2.0545457762618685e-05,6.9192198772219664e-06,3.138011822887359e-06,9.679348096010766e-06,2.3924036908772888e-06,6.144780257997008e-06,5.83274458433787e-06,5.823642834893039e-06,1.65487615943952e-05,2.6512236075524966e-05,2.0454162039697433e-05,1.3946120431642933e-05,1.4996156301853611e-05,1.9132546216394773e-05,1.4810116735995908e-05,3.675982902493386e-06,1.5750366203989394e-05,1.7361021123703798e-05,3.2768377205559006e-05,2.4895002067742602e-05,1.6996719637961216e-05,1.6723666450923025e-05,1.1394895911018439e-05,6.2648202491855585e-06,9.75852687430069e-06,8.925237528644699e-06,7.902970799799466e-06,7.15706585941216e-06,2.7139111108319362e-05,5.752997646551431e-06,2.2199793207686764e-05,2.1033391027829684e-05,1.8430160959820133e-05,4.455303020089449e-06,2.8893151832392433e-07,4.175345359857436e-06,9.582399368264252e-06,1.133656256783914e-05,1.9108568585925095e-05,2.8252083398318067e-05,9.4561670639637e-06,2.2925547115713738e-05,1.1745581462825227e-05,7.901212181438832e-06,6.7442068394403916e-06,8.94629798107898e-06,1.0792389184525724e-05,2.3712624097036197e-06,5.203623042384074e-05,0.00010709500457994495,0.00015415412638256797,0.00012292306205685837,0.0001427258050343062,0.00011840507608081763,2.3459915595058487e-05,9.129466719783207e-05,3.1884782023423586e-05,0.00014573040223375282,6.751780633751145e-05,8.069044228685229e-05,5.313723090325527e-05,9.735637612081596e-05,0.00018190591743647634,2.0045724891226982e-05,2.7097356481813844e-05,3.7366669199602996e-06,9.615155934652959e-05,0.00019992759785644385,8.261491126814447e-05,5.738320028618601e-05,5.500254332231815e-05,7.267697165811246e-05,6.548990952364907e-05,6.507189884734585e-05,9.902197383207855e-05,9.603750009433606e-05,6.279065613470642e-05,5.0166811968353394e-05,4.592524014641252e-05,2.1919990111734196e-05,1.545042682606703e-05,1.0694702100298467e-05,1.0624416653248036e-05,8.55509123395013e-06,6.737026236775944e-06,4.742046020070508e-06,5.184550395916515e-06,8.377579442653155e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 11.plk,1,1.937899339640751e-05,8.312267084498221e-06,6.22353023594228e-06,1.1410818020806002e-05,8.610860292293131e-06,7.858181390561939e-06,8.871854933140077e-06,8.101419801648389e-06,2.2286374340884313e-06,7.1452683108494585e-06,4.090283510206856e-05,1.5353091385504697e-05,2.345755521382121e-05,9.614918511040697e-06,8.812588352085809e-06,7.926120785354593e-06,1.7820305621672347e-05,1.6918641757815238e-05,2.9725445791820316e-06,7.2721809598932095e-06,5.729952158709e-05,1.3114370661205862e-05,1.3757675040973847e-05,4.177539650246856e-06,1.042946309275939e-05,1.108263433579604e-05,5.491535014679896e-06,3.1980800253779675e-06,7.549775881219998e-06,7.428312777775785e-06,3.419271220283434e-05,3.612645784016665e-05,2.091468650796547e-05,9.303683043755968e-06,9.890489145127057e-06,1.2113589054917166e-05,4.877679187105549e-06,2.55383411301661e-06,1.100629378727937e-05,1.3209760018394317e-05,2.356802844900864e-05,2.185095511015094e-05,2.909013652159419e-05,7.852572459813064e-06,2.0065294903829464e-05,1.2476987527381482e-05,9.55646456717252e-06,6.350991953798881e-06,2.4633504559801187e-07,4.3622941475344505e-06,8.073759066999524e-05,3.1634987774037866e-05,0.0001693970465569704,0.0001666027366396332,0.00012543366389021517,1.7957932112390776e-05,7.478373573121741e-05,4.3123466045981815e-05,5.417982054276698e-05,7.828218922274824e-05,6.442362301704005e-05,9.038354795152615e-05,0.00010009902467213499,0.00011656303280573738,8.509919411383706e-05,0.00017999729441396163,4.0392588577280734e-05,6.856750076209898e-05,3.0593524163068455e-05,5.7995888984114034e-05,4.3239054600260765e-05,1.6533967226591892e-05,4.969531053192844e-05,3.215588619214745e-05,9.282549192642626e-05,5.772111902580638e-05,1.876539160734702e-05,4.3566989955686696e-05,5.23053388690104e-05,2.254005171569208e-05,5.0962485945016225e-05,2.1706694674396215e-05,9.603216974877951e-06,1.583734071108884e-05,3.3135416431714506e-06,6.367445576271765e-06,9.555880832656638e-06,4.116130198916397e-06,4.548056727792844e-06,7.4994635232700086e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 12.plk,1,2.0301537927658493e-05,8.925592260817915e-06,9.732832195812755e-06,2.3365742241645055e-06,3.933171967262027e-06,1.1095248426814294e-05,1.805700746104555e-06,2.132750340254482e-06,3.342444574429334e-06,5.344235224363978e-06,2.764974302896583e-05,1.615225426539487e-05,2.827813180928641e-05,9.53107898448441e-06,1.4491267463826415e-05,2.182321715701056e-06,1.5622687163490912e-06,8.702597218639955e-06,1.3415279913711846e-06,1.3451599874487918e-05,3.315390894218152e-05,1.603099614098346e-05,6.895497698566568e-06,5.746453204234365e-06,7.806997012966821e-06,3.474692287923083e-06,1.1493892246560191e-05,6.036082742822989e-06,1.6716257564631716e-05,1.5865722654063327e-05,4.247431674678632e-05,4.9757890374706545e-05,1.4842967424835981e-05,1.8648241987846497e-05,1.1356009456327791e-05,1.0220541721979665e-05,5.258544541229874e-06,1.8711576166559908e-06,8.222111723486913e-06,2.7541087390672786e-06,4.217567384072984e-05,2.7644403429448138e-05,1.859729355949429e-05,2.014243280494129e-05,2.520395190696213e-06,1.7277579903941352e-05,2.1893945984878883e-05,1.1528693635670901e-05,7.365176210073431e-06,4.200296505820546e-06,5.150766648151711e-05,5.226932862948491e-06,6.126531445561976e-05,9.838494734695251e-05,0.00020306563323589758,0.0001592871559346514,0.0001339976509545748,0.00010151067978398927,0.00014575255506295035,0.00011709400562987574,7.800089910766015e-05,8.927883599843897e-05,0.00010882599859425116,4.065185428950799e-05,0.00011534928721985372,0.0001462641854602858,3.8810735002791035e-05,9.862570435473967e-05,0.00011191948034809058,5.867633675750616e-05,5.685753423031693e-05,2.831510600066532e-05,6.0144279079173046e-05,9.930207492525185e-05,7.28490779477355e-05,0.00010588970387387973,1.1867416608221157e-05,4.214947169613171e-05,0.00011274156947867881,7.717009465561139e-05,1.6935489490378382e-05,3.8890474724084894e-05,1.774817330995183e-05,1.5213697116964955e-05,1.1682573224680688e-05,5.260951841430421e-06,5.788042902326694e-06,6.880418634348608e-06,7.242266184116124e-06,4.673257284634902e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 13.plk,1,2.086006467339526e-05,9.834918652326961e-06,1.0571317648021136e-05,4.560297512842308e-06,5.777805260810218e-06,5.317531466843808e-06,1.550425689206144e-06,4.508085219172414e-06,7.954617382115073e-06,6.137214594902205e-06,4.353662447417297e-05,1.6095429997219503e-05,1.3282016448140648e-05,6.427349323213343e-06,6.883700465576358e-06,1.7745434275795236e-05,1.7765374672495157e-06,2.0280515465592067e-05,1.7198949298947041e-06,8.632867826023974e-06,2.7730026577738925e-05,3.3564495624187185e-05,9.441237123368883e-06,2.4614932986408297e-05,6.238339225304596e-06,1.1050883282052608e-05,7.749622170095156e-06,1.123359628555983e-05,5.220824226879582e-06,6.660891602109063e-06,5.289925758479529e-05,2.198515428737142e-06,2.183832986467679e-05,1.6639985139517997e-05,1.0659351851454831e-05,1.9237128623441805e-05,7.919607262977964e-06,6.570363344413074e-06,1.1683673368059169e-05,4.759929507693664e-06,2.2413022815722124e-05,1.8247299934265148e-05,1.71050275200624e-05,2.707270906377448e-05,9.66226841406007e-06,1.6701972295990876e-05,1.5162019519881574e-05,1.0197016982310768e-05,6.393977967790936e-06,5.914125438997344e-06,0.00017150262869131241,0.0001246516241705237,0.00011053160347834652,2.891031822449255e-05,4.643873790631339e-05,9.898668607571778e-05,6.872583239087642e-05,5.2623803500672655e-05,5.238519086870853e-05,0.00017749655552695595,0.00012305526866460077,0.0001304432774018574,6.776823952574171e-05,4.3047346256983924e-05,7.783123685965055e-05,7.906982646991971e-05,4.5427161727776886e-05,6.773354284670679e-05,3.743301859523171e-05,0.00013488025994116466,3.4067223487332635e-05,2.5597725426756448e-05,2.4998870476568895e-05,7.429770411896067e-05,3.983714157212629e-05,3.476148385245845e-05,6.830404676225337e-05,1.988042399547075e-05,4.5271623660953705e-05,4.443324097957173e-05,1.7039768807448968e-05,2.7331759247185525e-05,1.3044400354098271e-05,3.8743810710924945e-06,9.389222894555378e-06,9.006872341037786e-06,3.799085547110734e-06,2.6677285866185763e-06,3.5261593505387925e-06,3.801634680042179e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 14.plk,1,3.646128097534886e-06,2.1379759323191117e-06,1.0650854364420671e-05,3.699439989782059e-06,6.332174487918795e-06,2.5444241089104303e-06,2.666925467164015e-06,6.497146088870841e-06,4.515423222061988e-06,1.949590982144183e-06,3.3429937991549546e-05,1.687423021849694e-05,3.0921397056088215e-05,1.1443019742577523e-05,1.0588848862402086e-05,1.4525639570330022e-06,3.229592201350549e-05,3.601776390859252e-06,7.063154233158382e-06,6.247843152737104e-06,3.98781430653701e-05,1.197652712639793e-05,3.5647955494581906e-05,4.018589089902856e-06,2.6411019075727802e-05,8.816818708403743e-06,5.129079958297122e-06,5.915314074257474e-06,3.2313264934061923e-06,1.3602824009591242e-05,3.386649814438996e-05,2.9430625311829307e-06,5.560003686786258e-06,1.443629955989247e-05,4.8593231433735415e-06,1.1855570007108489e-05,2.7687404295151937e-06,1.1225459613401737e-05,7.048497572748497e-06,9.076891561493553e-06,2.1906978764016046e-05,2.2064232556008492e-05,2.251341041060726e-05,1.9442492745651127e-05,9.229307706419468e-06,1.652810122026217e-05,5.072983859852085e-06,1.2554283030089247e-05,4.322295885680595e-06,1.2567629800636363e-06,0.00011207655472443238,0.00013754319341418826,4.2822215354573785e-05,0.00018534232658095308,0.0002178729782955628,0.00017758493919357182,0.0002432654753467533,0.00017423513355653103,4.3328944397640076e-05,0.0001443165027632226,3.656048404314931e-05,8.96922276721218e-05,4.958917171791491e-06,3.5128593457762716e-05,0.00011056094849716343,6.564848895942009e-05,0.0001401319716777793,6.745844924209292e-05,3.91019642146099e-05,5.6065308039531226e-05,1.8636735714928154e-05,6.334669988047547e-05,6.752823693260596e-05,2.3084160583584924e-05,3.956545510032791e-05,8.398214228602931e-05,1.2270316140157145e-05,3.4282002928826494e-05,7.207816711986449e-05,3.011891843035547e-05,2.2295911955562582e-05,1.475517675365356e-05,9.482091027912274e-06,5.458096531291016e-06,6.9765791203675326e-06,1.1998291841588745e-05,3.892274790244854e-06,5.603673074995188e-06,9.73341092992674e-06,3.4172550874397788e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 15.plk,1,7.357069807284539e-06,1.058677940437639e-05,6.4779596453795365e-06,1.2188687696699914e-05,5.361074636989346e-06,4.485731111076462e-06,1.0875301574468804e-06,7.411597996213685e-06,7.078143802150637e-06,7.118555618040939e-06,2.4960680101683356e-05,1.2768319920081751e-05,8.066755821585693e-06,2.997567400119807e-05,1.5466154314162388e-05,8.609734159339226e-06,1.2962246896086968e-05,1.7026437029857123e-05,4.816430582642466e-06,5.764856290315007e-06,2.087904962972621e-05,2.5509215862252666e-05,7.21329135584377e-06,1.7124306758398763e-06,5.7200358508601955e-06,1.4549544125796013e-05,8.717209532258538e-06,2.896276738243443e-06,4.347985882428882e-06,6.633974494529912e-06,5.05625910992369e-05,2.159310869424946e-05,1.0137546432659307e-05,2.075257345196491e-05,1.6404569503158463e-05,1.5289742906926967e-05,1.2184752438564095e-05,7.522773637631119e-06,9.795460615031575e-06,2.2639105439824844e-06,4.001077224269632e-05,1.8550044717433305e-05,1.568408512847003e-05,1.4825615655684103e-05,1.2037351229179536e-05,7.277425305077912e-06,3.6914333273824534e-06,1.1200603727296711e-05,1.1714275152352434e-05,1.2770959779916618e-05,3.2684189199442084e-05,7.988551074634918e-05,0.00012162412588987486,2.1154081190419775e-05,5.6469632588532105e-05,6.301877194627643e-05,0.00010097816408087185,0.00013498029829808186,4.5531326077519764e-05,0.00019276611673717576,5.6110820476222956e-05,0.00011073775077859541,5.675645444457945e-05,7.025088594170823e-05,6.384588592612625e-05,9.821851832201068e-05,1.0167781362203607e-05,8.176426313915706e-05,3.931000205334384e-05,6.851990683153545e-05,3.262198635110474e-05,2.247048816846548e-05,3.737236793494947e-05,3.798311426372625e-05,1.8052912227700126e-05,2.9928444297871655e-05,6.969882387463443e-06,4.4071945053448135e-05,4.1087820320889194e-05,3.091389000696002e-05,1.668094027530217e-05,2.433180680469264e-05,2.8417273649810215e-05,1.3003997991479315e-05,1.5487302695084458e-06,1.442231406297438e-05,1.53628885268204e-05,1.145686017499531e-06,4.4151453622432055e-06,1.0243402628811474e-05
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 16.plk,1,5.518086165599833e-06,2.1597223579633233e-06,7.616590986322275e-06,7.039460066923132e-06,7.438617535953067e-06,2.524094904260965e-06,7.1537140070305375e-06,8.26719512192557e-06,4.7538958345674615e-06,1.60668222595463e-06,4.459106960326861e-05,1.5238243970928035e-05,1.6763404879677977e-05,1.7803403327784642e-05,1.3505881448095598e-05,8.460691042816788e-06,8.98196346531058e-06,1.7374672499376173e-05,3.7343337547921734e-06,4.288172583429448e-06,3.2129310086793404e-05,5.3963880715133965e-05,1.4617854702829629e-05,2.0898976924606507e-05,1.2929743805976646e-05,7.697536247293831e-06,2.7531211995464865e-06,1.4130880737617948e-05,1.493406062068783e-05,5.9654960443882e-07,1.5829833874141804e-06,1.5419198906618948e-05,2.248125834527731e-05,2.3328406798466502e-05,1.4201760873842073e-05,6.005688024479546e-06,6.647109468289132e-06,9.589196274553111e-07,1.2284773380268063e-05,1.8423636876452044e-05,5.135206364196411e-05,3.653142681865565e-05,7.282911800135372e-06,3.2858987854581355e-05,1.3945326596471534e-05,3.6814243691975664e-06,1.3490832023398249e-05,3.525261910690542e-06,2.3513012878299626e-06,8.040610479763915e-06,6.74031087058471e-05,5.640615068529776e-05,7.525597854368656e-05,7.624741819594316e-05,0.00010741195817736465,9.493190879213645e-05,8.977721591433038e-05,9.152787147614158e-05,4.738044723509963e-05,7.350085045657533e-05,5.5261925648542576e-05,5.166618992249549e-05,4.796954499884654e-05,3.430826859308127e-05,5.8551599009897764e-05,1.7152140467594785e-05,2.846683926567768e-05,5.323875134567752e-05,4.697260692264862e-05,5.683526032164372e-05,1.1370096913019696e-05,2.8493411090571143e-05,5.330180790268839e-05,2.0465420981052892e-05,5.0493289830481134e-05,4.8892145755053994e-05,5.931403991649005e-05,4.90260594252204e-05,4.258790187269759e-05,0.00010373471727436847,1.875374073788667e-05,2.0848235149805482e-05,3.0097529091858565e-05,3.7439057993017405e-06,8.769641083273343e-06,1.27819204210072e-05,1.1170966789134616e-05,1.2633199784381983e-05,5.668460961364833e-06,5.9638726959476405e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 17.plk,1,1.2218488748239067e-05,2.5770722454715144e-05,2.3406230918886368e-05,3.146587624725645e-07,1.2597896129409847e-05,9.033912241079798e-06,7.225387338714702e-06,1.3935328184409464e-05,1.8595117017816542e-07,1.2477307215937034e-05,3.589186519524738e-05,2.7155338011919168e-05,3.491200697227563e-05,1.8927108091006855e-05,5.725588974593256e-06,1.7797364753756105e-05,2.770172062389603e-07,1.2639653214460714e-05,9.843681744089437e-06,5.805412492373572e-06,1.53320653049859e-05,1.9733572630935547e-05,8.466630742516856e-06,2.9332919493273493e-05,1.0291571052628783e-05,1.9411764860259832e-05,6.128417934426856e-06,4.480449118423701e-06,9.805395937217613e-06,1.4344015189714228e-05,5.237602353735501e-05,3.100188178103536e-05,1.7106454078906313e-05,1.2301849017777077e-05,2.4875942342849395e-06,1.3702065458418649e-05,1.2186331654240104e-05,1.5768526046749623e-05,1.2439646350978298e-05,2.1863809587801463e-06,3.7901766918618375e-05,2.5172501195278092e-05,1.0846041954443066e-05,7.250705392782961e-06,9.503020027745645e-06,1.3924084256771264e-05,1.3000519834155112e-06,1.2850981065612731e-05,4.278004781040235e-06,1.7217277362728037e-06,8.770251797778754e-05,0.00021541529006205204,0.0002265232811973504,0.0001839084054121505,0.00022650637482159424,0.00018385979308010466,0.00023123926961033902,0.00011137800699114423,0.00012508876594194892,0.0001399752927181754,1.5766083789908718e-05,9.929794917435018e-05,9.615024565962996e-05,0.00011161642457159484,8.027188287581056e-05,0.00012061648491292906,2.4234749293569006e-05,0.00011910937878802777,3.493935207280312e-05,9.364486291492537e-05,4.651508636590531e-05,1.8033817309168022e-05,1.077394666268057e-05,3.9369477961743557e-05,5.619589601149456e-05,1.461398976496754e-05,2.413194656168686e-05,3.0624727678598656e-05,6.18041776834673e-05,3.245367390875961e-05,3.2685909146868475e-05,7.782168881918228e-06,5.075710972429489e-06,8.124501008550336e-06,1.4886013254034935e-05,1.0415519497922097e-05,1.0198825320737509e-05,4.397668307472537e-06,9.749603440411512e-06,1.7161714322553045e-06
(Fault) Bearing (1) Ball & Bearing (2) Combination Trial 18.plk,1,2.963511686631477e-05,4.008759570799814e-05,2.633746000507684e-05,1.3995398639640445e-05,8.82221732675739e-06,2.1756092887715128e-05,1.7066957691481235e-05,2.4836673293926987e-05,2.5017942794594596e-05,9.310911859782658e-06,9.09325456447083e-06,2.558584541332081e-06,1.082310276784978e-05,1.6856501148591608e-05,9.704266548830167e-06,7.0668333169175035e-06,1.1168461284962246e-05,3.656877545540239e-06,4.92632095408779e-06,5.457374316176821e-06,1.0354871163477962e-05,2.4791188509900835e-05,7.662673307367033e-06,1.824074008324172e-05,4.3561779194145e-06,1.9842168249860256e-05,9.903253851642315e-06,7.1182693317003615e-06,4.3019381163577215e-06,5.113121361674109e-06,2.8537821853095176e-05,2.3757655178427095e-05,1.7068625488858628e-05,1.0690814954443895e-05,9.618311694805976e-06,1.8688171073867693e-05,5.6268506266896344e-06,4.373610574987742e-06,9.90979649877921e-06,1.1918153898606309e-05,1.860338074454039e-05,9.181448442304882e-06,1.7097327472749331e-06,2.3773412627540088e-05,3.891758142217741e-06,8.83480847308952e-06,1.0376801116387168e-05,1.1771979451234591e-05,4.978864914679222e-06,7.155111412694956e-06,9.470840072630015e-05,5.781355715974285e-06,1.6918565211597997e-05,0.00014066616149465048,9.90135188834321e-05,6.693623930427867e-05,0.00013163144874622134,0.00014273687362395768,0.0001245227811808687,8.452317685614456e-05,5.253374330280777e-05,7.523736797870152e-05,3.64706922646739e-05,0.00010433215144901569,7.26729900132427e-05,0.00014444351324016292,3.3790308165425564e-05,9.47746524838872e-05,0.00010921108149334905,6.946421165388391e-05,4.9237353294753976e-05,1.984703316338266e-05,3.822166652768459e-05,2.2645287755632603e-05,4.1413705201728425e-05,2.1346636208981573e-05,8.252826324800984e-05,2.8151735625006712e-05,1.2038445671185409e-05,5.406726373978706e-05,3.584635346461429e-05,1.5160704445289542e-05,9.266943361255786e-06,1.777389839020827e-05,1.2816927242186291e-05,1.861691752763119e-05,5.01218999548389e-06,1.079247539054518e-05,2.2604684905130576e-06,1.0114362670597718e-05
