file,label,Tachometer_harmonic_1_amplitude,Tachometer_harmonic_2_amplitude,Tachometer_harmonic_3_amplitude,Tachometer_harmonic_4_amplitude,Tachometer_harmonic_5_amplitude,Tachometer_harmonic_6_amplitude,Tachometer_harmonic_7_amplitude,Tachometer_harmonic_8_amplitude,Tachometer_harmonic_9_amplitude,Tachometer_harmonic_10_amplitude,Motor_harmonic_1_amplitude,Motor_harmonic_2_amplitude,Motor_harmonic_3_amplitude,Motor_harmonic_4_amplitude,Motor_harmonic_5_amplitude,Motor_harmonic_6_amplitude,Motor_harmonic_7_amplitude,Motor_harmonic_8_amplitude,Motor_harmonic_9_amplitude,Motor_harmonic_10_amplitude,Bearing 1 Z_harmonic_1_amplitude,Bearing 1 Z_harmonic_2_amplitude,Bearing 1 Z_harmonic_3_amplitude,Bearing 1 Z_harmonic_4_amplitude,Bearing 1 Z_harmonic_5_amplitude,Bearing 1 Z_harmonic_6_amplitude,Bearing 1 Z_harmonic_7_amplitude,Bearing 1 Z_harmonic_8_amplitude,Bearing 1 Z_harmonic_9_amplitude,Bearing 1 Z_harmonic_10_amplitude,Bearing 1 Y_harmonic_1_amplitude,Bearing 1 Y_harmonic_2_amplitude,Bearing 1 Y_harmonic_3_amplitude,Bearing 1 Y_harmonic_4_amplitude,Bearing 1 Y_harmonic_5_amplitude,Bearing 1 Y_harmonic_6_amplitude,Bearing 1 Y_harmonic_7_amplitude,Bearing 1 Y_harmonic_8_amplitude,Bearing 1 Y_harmonic_9_amplitude,Bearing 1 Y_harmonic_10_amplitude,Bearing 1 X_harmonic_1_amplitude,Bearing 1 X_harmonic_2_amplitude,Bearing 1 X_harmonic_3_amplitude,Bearing 1 X_harmonic_4_amplitude,Bearing 1 X_harmonic_5_amplitude,Bearing 1 X_harmonic_6_amplitude,Bearing 1 X_harmonic_7_amplitude,Bearing 1 X_harmonic_8_amplitude,Bearing 1 X_harmonic_9_amplitude,Bearing 1 X_harmonic_10_amplitude,Bearing 2 Z_harmonic_1_amplitude,Bearing 2 Z_harmonic_2_amplitude,Bearing 2 Z_harmonic_3_amplitude,Bearing 2 Z_harmonic_4_amplitude,Bearing 2 Z_harmonic_5_amplitude,Bearing 2 Z_harmonic_6_amplitude,Bearing 2 Z_harmonic_7_amplitude,Bearing 2 Z_harmonic_8_amplitude,Bearing 2 Z_harmonic_9_amplitude,Bearing 2 Z_harmonic_10_amplitude,Bearing 2 Y_harmonic_1_amplitude,Bearing 2 Y_harmonic_2_amplitude,Bearing 2 Y_harmonic_3_amplitude,Bearing 2 Y_harmonic_4_amplitude,Bearing 2 Y_harmonic_5_amplitude,Bearing 2 Y_harmonic_6_amplitude,Bearing 2 Y_harmonic_7_amplitude,Bearing 2 Y_harmonic_8_amplitude,Bearing 2 Y_harmonic_9_amplitude,Bearing 2 Y_harmonic_10_amplitude,Bearing 2 X_harmonic_1_amplitude,Bearing 2 X_harmonic_2_amplitude,Bearing 2 X_harmonic_3_amplitude,Bearing 2 X_harmonic_4_amplitude,Bearing 2 X_harmonic_5_amplitude,Bearing 2 X_harmonic_6_amplitude,Bearing 2 X_harmonic_7_amplitude,Bearing 2 X_harmonic_8_amplitude,Bearing 2 X_harmonic_9_amplitude,Bearing 2 X_harmonic_10_amplitude,Gearbox_harmonic_1_amplitude,Gearbox_harmonic_2_amplitude,Gearbox_harmonic_3_amplitude,Gearbox_harmonic_4_amplitude,Gearbox_harmonic_5_amplitude,Gearbox_harmonic_6_amplitude,Gearbox_harmonic_7_amplitude,Gearbox_harmonic_8_amplitude,Gearbox_harmonic_9_amplitude,Gearbox_harmonic_10_amplitude
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 1.plk,1,3.3619494773193456e-06,1.8062036289176336e-06,3.31274396992109e-06,5.477042836392763e-07,3.997156983205701e-07,1.2638403822768136e-06,1.5086517815302786e-06,1.2706225435053535e-06,1.0135080911863988e-07,1.7229154069786006e-07,5.779461199130202e-05,2.5882342987035753e-05,1.0475199428018493e-05,8.668662986860982e-06,5.1874258686339736e-06,6.815851278928211e-06,1.0662416070443333e-05,4.409517778965903e-06,8.252707341826211e-06,1.7252286256615634e-05,4.196480232031182e-05,1.6519911045403928e-05,1.5592587270087065e-05,8.07029104915894e-06,2.8188355943872425e-06,8.007288277521276e-06,1.0953121985287064e-05,8.774054517781519e-06,2.9443130281412793e-06,8.507807567983404e-06,5.765602009436358e-05,2.056392767548831e-05,3.0021374417159128e-05,8.04543669777587e-06,1.8482512994196754e-05,1.6327193788760834e-05,1.3671033528011495e-05,1.8595765436768294e-05,8.170378415532292e-06,3.881735320912816e-06,2.4249481345422574e-05,5.679624637837853e-05,2.28967724251243e-05,6.03546685494947e-06,5.226662747122983e-06,1.404061529506496e-05,4.139905895233297e-06,1.0533032001461823e-05,1.9127791575970256e-05,1.9904213782546757e-05,1.6558746760473502e-05,3.4304658838855754e-05,2.4092595250115514e-05,2.6202533269055322e-05,1.3784308577219008e-05,1.2340776892963485e-05,1.262765685575855e-05,9.464490591303982e-06,2.8569336718037422e-05,5.455672083695598e-05,2.4138353029637768e-05,6.693629613536907e-05,3.0498115377661237e-05,7.00355527446385e-06,2.9408003630709998e-05,1.4513482563615925e-05,1.1544152059297049e-05,3.9516136501086834e-05,7.397305309683161e-06,3.148201737337036e-05,5.262459849222332e-05,2.477279369257448e-05,1.0435346706013402e-05,1.3549005139176496e-05,4.0810420705693145e-06,2.853866065859305e-06,1.7559849636932057e-05,8.01799749733928e-06,1.2073511020515408e-05,4.0094731826295e-06,3.750255440724549e-05,1.010591233390059e-05,1.435441921949975e-05,2.8068420210239844e-05,1.3273486800857643e-05,4.053864839198951e-06,3.552683789832731e-06,4.144116733680727e-06,7.996098455536232e-06,4.408896907605608e-07
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 10.plk,1,6.404880091085586e-06,4.289342812332331e-06,1.7743206525763954e-06,3.642675147949654e-07,2.8844416597785985e-06,1.6609101386589272e-06,1.1773773701450593e-06,8.067505028757077e-07,3.440151423799141e-07,9.853288816865036e-07,3.830366874142889e-05,3.4805818449780364e-05,1.322763730818104e-05,1.1950920168499311e-05,1.2509753090277867e-05,1.9633365543725582e-05,3.1412107870565254e-06,1.130699978841065e-05,8.04785084092958e-06,1.7702336463859945e-05,1.3898511669910075e-05,1.545988286213739e-05,2.4572759584618285e-05,1.2763735565626525e-05,9.102937926498685e-06,2.640964954105665e-06,6.7581619962241035e-06,3.4566636105999892e-06,8.787699693092774e-06,6.233608278841459e-06,1.1608613537663777e-05,8.161059836121128e-06,1.75110071251409e-05,1.231459506302068e-05,1.3428364250262898e-05,1.0514789360602935e-05,1.0939097629567003e-05,7.943561313323804e-06,2.799534829136092e-06,9.410122558100077e-06,1.1306650375886069e-05,5.418417468984366e-05,9.230211418049029e-06,1.240378903748722e-05,2.274930960319789e-06,1.1853180084715589e-05,7.522812864831221e-06,4.960802441720559e-06,1.5171063249212502e-05,8.356049151314738e-06,4.566549687611742e-05,2.476263530989808e-05,1.6392599143101605e-05,2.6339008679201407e-05,2.4914977301795828e-05,2.488428056728514e-05,3.6474106387017194e-05,2.1072898489576015e-05,2.505253884348125e-05,1.5729433478279538e-05,3.881589746545703e-05,2.9285880312204322e-05,4.7974871284327596e-05,4.539704246261555e-05,2.676133129634475e-05,1.2465507879708184e-05,3.321293929268347e-05,1.600137610944602e-05,1.9835899102790994e-05,2.4764511145424867e-05,4.658392471206733e-05,1.3281767389769084e-05,9.094561691568757e-06,3.624461144785252e-05,1.9892872308392754e-05,1.7141884208442715e-05,1.8696335067184947e-05,7.263310889415369e-06,1.9259556203483068e-05,3.400138164782982e-06,2.851679284951962e-05,1.6346474945961865e-05,1.867668151403176e-05,1.537626963032501e-05,9.973387887010998e-06,8.013235489717913e-06,8.138481123768603e-06,4.13230001475369e-06,1.206822003638383e-05,6.2911317265936844e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 11.plk,1,5.739967603776034e-06,2.9806346464969106e-06,1.3116267510773653e-06,2.4768081391536388e-06,2.8438655096975174e-06,1.3083696221460168e-06,2.5144061744811827e-06,1.2250198627838434e-06,8.672635037538613e-07,1.5229269673749755e-06,6.405501624564138e-05,9.377494882430522e-06,1.9703222762685476e-05,3.049963716074676e-05,1.1174349916206672e-05,4.703739101773113e-06,7.345373469357133e-06,8.095350688044638e-06,6.851366651490771e-06,9.653360590223724e-06,5.070832096544885e-05,1.9934821497263995e-05,1.11732604978938e-05,1.8686476561800083e-05,1.3001401310356866e-05,1.55978650452477e-05,1.0212801453752917e-05,1.605516982746419e-05,7.262084796039372e-06,1.0263396131366968e-05,1.886155509365594e-05,1.9381566375532414e-05,3.420532227908088e-05,1.538367034733932e-05,1.5684266932944394e-05,7.077758422147125e-06,4.772204700379681e-06,7.713816586792795e-06,9.433038403221862e-06,3.085419105020555e-06,4.0157750908802974e-05,1.4045436930697094e-06,1.61986125839571e-05,1.4415660941175224e-05,9.001499273152456e-06,3.4455965078239393e-06,1.1376708785245608e-05,1.2515544352418487e-05,5.322755296456825e-06,5.59941243012197e-06,3.481307565979073e-05,2.1659694324001994e-05,3.928799854442107e-05,4.7752385840483295e-05,2.8469181667762517e-05,2.1119176020031313e-05,3.7055074974754476e-05,3.558228815362707e-05,1.5235870446179901e-05,3.291874059122064e-05,2.5335689418893133e-05,1.6165775925402382e-05,4.510203936863785e-05,1.910602033101972e-05,3.814486943262646e-05,2.2282619833109678e-05,9.4961895596238e-05,4.383488299394292e-05,1.1524312885157375e-05,4.69467627220277e-05,3.775954330363125e-05,2.264532127324831e-06,1.0743178194759938e-05,2.8973920262070945e-05,1.3304108380644704e-05,1.7501916108932438e-05,6.491298885539167e-06,2.1552120867134802e-05,1.98242366575864e-05,1.298323251681467e-05,3.470418723197264e-05,2.2577555592307567e-05,1.3592411635387377e-05,2.5136838163469645e-06,1.025883490475978e-05,7.863841731469337e-06,8.075697252077476e-06,5.204961484569859e-06,8.343215986813547e-06,6.216134320778831e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 12.plk,1,8.015457522477271e-06,2.787081344784439e-06,3.3709344696774355e-06,1.5107549221867284e-06,2.0496748699518357e-06,1.5248299890666545e-06,3.087031829746034e-06,1.0517236087746575e-06,1.3381600140917222e-06,1.13762846855609e-06,4.1959569873147053e-05,5.1193152155045674e-06,1.9464989489695968e-05,1.0246039519378387e-05,1.3546774010560349e-05,8.739059672448871e-06,4.779235397960668e-06,3.992993880229879e-06,7.829344980418687e-06,1.3455461343502458e-05,3.406372649572113e-05,1.297507123964589e-05,2.2918588810852733e-05,1.6255246902365224e-05,1.0576496972405557e-05,1.9351474390713864e-05,1.7280782004094516e-05,3.898619128361527e-06,1.1709841657434048e-06,8.078424575892147e-06,1.7290036735763993e-05,2.227486294821508e-05,4.797070378620558e-06,2.095784487634422e-05,5.058998615259156e-06,5.238503680426846e-06,1.3394029978715168e-05,1.3597875066697708e-05,4.600994184222484e-06,7.763606803725146e-06,1.2877206351136452e-05,1.6840471211876313e-05,2.3360493381790816e-05,2.1153219816938908e-05,1.4624098207983374e-05,1.5754141410087377e-05,1.073560006130948e-05,9.219049590273732e-06,1.1224729360334675e-05,6.732203277320901e-06,1.9228140471968634e-05,3.571311010165424e-05,1.8541421863139153e-05,2.0364624725037344e-05,1.690719015300473e-05,4.286750362371907e-06,1.3134891362402657e-05,2.739952880547214e-05,1.619561718803471e-05,1.5438504872993303e-05,5.0509819282486925e-05,6.270311532638886e-05,1.9328290761010377e-05,6.127015468015082e-05,5.334642873179084e-05,3.8288931821685713e-05,4.163562062429237e-05,4.851020207378306e-06,3.436676006308285e-05,1.6172363314112983e-05,7.276361472276836e-05,1.534906592117225e-05,2.4485039582691027e-05,9.430167695834406e-06,2.7191459608124326e-05,1.1706435175434238e-05,1.3217501079823124e-05,9.931307144170107e-06,7.929466693206671e-06,4.837744396196373e-06,2.2668297962917584e-05,8.363665043480576e-06,1.142953104033916e-05,6.161327465488787e-06,1.697515149660351e-05,1.687233688278753e-05,1.7253658769673464e-05,4.442045729484704e-06,6.86163942292917e-06,1.1331140795155816e-05
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 13.plk,1,3.1360535012600515e-06,1.3285139904823372e-06,5.696015572205896e-07,1.2285097276026982e-06,2.8669400427514464e-06,8.334564868015282e-07,7.463194164091379e-07,1.3565544682782116e-06,7.023000379003424e-07,1.5902508079455863e-06,2.0690311078681084e-05,2.0438085148296532e-05,5.534221345231307e-06,1.2334789363996828e-05,7.989749817605228e-06,2.5597257107861276e-06,1.0464361162181369e-05,7.396993311669426e-06,2.324059055114315e-06,4.312718712252797e-06,2.603922273525854e-05,2.988935278942528e-05,7.054173636089514e-06,1.4180423674677782e-05,1.6528477077449613e-05,7.822147786673206e-06,1.422418111115483e-05,5.900942925932349e-06,7.678774740967096e-06,2.3413805430860937e-06,1.2489288237999722e-05,4.517330787536421e-05,1.6271871026173088e-05,1.3935559874653582e-05,1.7493827737042845e-05,2.8259307624641765e-06,6.682949493360521e-06,8.338343934234722e-06,1.1889085728794627e-05,5.25897936727875e-06,2.682604498895002e-05,2.028739157842394e-06,1.5517846683783957e-05,1.176215632367534e-05,9.423997046506944e-06,1.3801898484477693e-05,7.464970277131419e-06,2.226602842503684e-06,7.967307762777733e-06,3.1274369852241996e-06,3.994799497162173e-05,4.029989338185173e-05,3.1452334431526813e-05,2.1476267220986128e-05,5.158354830196223e-06,2.55306372596935e-05,2.8157467364702052e-05,4.2180771836113725e-05,3.7511205103513296e-05,2.863176976807179e-05,1.1796933279352724e-05,1.2751619566274946e-05,1.990930729779296e-05,2.5192342697311116e-05,2.4936623198313504e-05,3.4632649671957185e-05,2.8028568987865e-05,4.008225075651214e-05,4.522435693386848e-05,7.892774123665203e-06,1.61074165021995e-05,3.993366844580949e-05,1.3748731294525945e-05,1.428879530769945e-05,8.135748322575061e-06,2.2064842553202955e-05,1.0191496435667212e-05,8.852239568892657e-06,1.6278028460211407e-05,4.4570048768375235e-06,2.6026703951459476e-05,1.870209199118914e-05,1.3032541149343721e-05,7.682858339207307e-06,1.3870951700969452e-05,1.301438390687249e-05,1.8162812106111833e-05,2.7047419098037233e-06,5.050075671257553e-07,3.862751313468296e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 14.plk,1,4.336449207146008e-06,9.0187642661337e-07,2.3634707401414207e-06,1.1119251057317981e-06,3.3088175917663102e-06,9.782990328703212e-07,9.658741020417638e-07,1.630593616724371e-06,1.231277804916083e-06,5.883887286492596e-07,2.9843494413887552e-05,6.034675658396765e-06,1.4508418572097971e-05,7.181394741152393e-06,7.135740193164656e-06,4.430897873230685e-06,1.0487296748629853e-05,1.1070597458506538e-05,1.8245007749870792e-06,7.527176224391583e-06,1.687324350646131e-05,1.7601670432023438e-05,1.3541104888316284e-05,1.1461469834322834e-05,1.4950331913373411e-05,1.2290672173936021e-05,8.081182122123822e-06,1.4233102904906134e-05,1.2143341709027504e-05,6.1345379966326325e-06,1.4005398398824348e-05,9.979895086690438e-06,1.944640639465482e-05,4.551249471671781e-06,4.848060062407065e-06,1.6968008181763665e-05,1.30191331221548e-05,7.933904652994465e-06,1.2641172257884356e-05,8.058048597468954e-06,3.818337364817705e-05,5.219590032806904e-06,1.689257896587913e-05,2.6424048447312798e-05,1.7141657739653644e-06,2.9758735445892168e-06,8.571791740129305e-06,1.1439051580046215e-05,5.20229557770708e-06,5.621831495032051e-06,5.108462031471744e-05,2.777560665219162e-05,4.793977234684507e-06,2.3965639207007222e-05,4.1275537934693806e-05,2.0284317506751794e-05,3.874787621482889e-05,1.021428753108489e-05,4.5013174431789e-05,2.4239969464792525e-05,4.418221812001404e-05,3.170171787387285e-05,3.897634089527566e-05,1.0467227898529524e-05,3.9427204047396574e-05,3.9764077947224475e-05,4.4994622047326405e-05,2.6230104705578173e-05,1.8303220277858563e-05,3.1533430892284626e-05,7.623884223214697e-06,2.1895401584198244e-05,1.6045239833653727e-05,2.785081125340484e-05,2.8987313254209185e-05,9.396868412452548e-06,1.9223420758496484e-05,1.1934403878242923e-05,1.25478709537592e-05,6.871177962532806e-06,1.2577421993222967e-05,3.547206370194844e-05,1.3587140588358177e-05,3.2450434743142884e-06,2.0865533582202457e-05,1.2200163452797714e-05,6.522053106781724e-06,2.3348529169315653e-06,5.746818988347309e-06,4.947351262037514e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 15.plk,1,2.85266591669845e-06,4.0875712344636795e-06,5.550004593477256e-06,2.5446877946688993e-06,4.337826100383005e-06,2.8303095282039034e-06,2.8216930783606375e-06,3.2410850093525355e-06,2.1740028809988968e-06,2.0970463391342713e-06,3.6646775600414346e-05,2.179311766328425e-06,6.707242375534683e-06,2.039026386525346e-06,1.1931388439903188e-05,6.6467687734701555e-06,8.230229273562555e-06,1.4283547795664031e-05,1.5052020627110235e-05,4.365757978509674e-06,1.9346592897463158e-05,2.117832847980211e-05,4.9396284351012975e-06,1.8101610291265293e-05,2.0374920868309702e-05,6.773127748739521e-06,5.805791356344439e-06,1.3779045571857562e-05,8.207653908423863e-06,6.835770174190054e-06,5.789482957867611e-05,1.7158483588609363e-05,1.8235038274208656e-05,1.5415622452015492e-05,2.1115605781216355e-05,1.009904545966543e-05,2.1715533030892635e-06,2.8729404591606504e-06,5.990031966919264e-06,3.555560916118006e-06,9.870316910023343e-07,1.722271527428334e-05,1.1866208582152775e-05,1.3778952431826094e-05,1.2530812941140632e-05,1.4325113573329109e-05,1.5342966207582282e-05,7.924123683648973e-06,1.9411760987625398e-06,7.77650540891539e-06,5.035476074897431e-05,4.802816771196486e-05,1.4662985057934708e-05,2.9479664120130017e-05,2.5695576784514194e-05,2.7921909035422497e-05,4.139065082323839e-05,2.996051407900199e-05,1.562263892564278e-05,1.3253853378581749e-05,4.0699026756006215e-05,3.475364907701814e-05,1.836941173903027e-05,2.4925185964185792e-05,3.6684135305076466e-05,5.633400952868947e-05,1.5310629406189366e-05,2.3655978723603247e-05,2.3193014550682405e-05,3.731769895880921e-05,1.8382245075730574e-05,2.401589139199657e-05,1.4054515885509026e-05,1.08560334953844e-05,1.3281623070255645e-05,1.1728888715989984e-05,1.401706519228911e-05,1.790383143202489e-05,5.700165873713653e-06,2.2699465639053136e-06,1.0513166259238733e-05,4.016522886630349e-06,2.3380228317075773e-05,1.5094244844868101e-05,1.3556796456400845e-05,1.7084209461871002e-05,5.378267578923553e-06,1.1629211910035494e-05,8.898556730652443e-06,8.85462701669067e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 16.plk,1,2.4449717530736383e-06,4.477203288815167e-06,2.757772653468303e-06,3.8744735537538e-06,2.3369667088360166e-06,1.5685999905019863e-06,2.5128041020535017e-06,1.179955628124218e-06,1.0251408003238686e-07,1.7625961633556008e-06,1.6286700417249244e-05,5.724473203003755e-06,2.8272508212623677e-05,1.9988183341435833e-05,9.536192094394399e-06,1.3353389811916025e-05,1.188238891868497e-05,4.089499845787379e-06,1.0044071748181004e-05,1.5016689460403445e-05,3.796053670151495e-05,1.6059707371022576e-05,1.8858792146407315e-05,1.1758266873189234e-05,2.1769505747674815e-06,7.246133877703331e-06,2.518250422349314e-06,7.464117914396157e-06,1.7464568630788612e-05,5.680110103881233e-06,5.690635722420931e-05,1.913147788056793e-05,8.940624719469056e-06,1.256781934377877e-05,9.24400544446852e-06,2.605547515727591e-05,9.14238900511465e-06,2.087180084283718e-05,2.5922175945166774e-06,9.33393760852511e-06,2.276074442502518e-05,1.065687430122795e-05,1.8491085657884926e-05,1.1176410796759132e-05,3.5557100153955052e-06,6.931432594865287e-06,8.34124800047673e-06,5.528810660926055e-06,1.2896247842115659e-05,3.7571772370075616e-06,2.615882724110977e-05,2.6877864766382496e-05,2.5978984887254936e-05,2.906081560108012e-05,1.5121827359176902e-05,7.780829379028243e-06,3.1279063298676376e-05,3.9929346224893614e-05,1.813360150031696e-05,1.4609689205136397e-05,2.0586525138837667e-05,6.025842757198699e-05,4.1329423581222225e-05,3.8557470568303924e-05,5.2160447729151993e-05,3.920139453867441e-05,1.497283805176138e-05,1.9473450001564984e-05,5.992125486174761e-05,4.0091941584193806e-05,2.170180296764862e-05,2.2736790866502252e-05,2.9525410163961314e-05,8.195686671426533e-06,2.3013375453899405e-06,1.450627546749889e-05,4.663564950343276e-06,1.1122194596452013e-05,5.931995094744272e-06,1.0718262872209812e-05,1.5047138245243881e-05,1.1735327413689167e-05,9.746663559666383e-06,8.256318468205261e-06,7.572063150707027e-06,5.05743122502117e-06,3.210682412696192e-06,6.149143214144898e-06,1.2633469674321952e-05,1.8699782118023815e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 17.plk,1,3.764416590974744e-06,2.847342974306253e-06,1.552470158377787e-06,1.3196640676192751e-06,1.548196901929257e-06,1.2199515776388263e-06,1.1171986860525973e-06,1.661826685400414e-06,1.0243980124577748e-06,8.028545929825351e-07,4.188438122169678e-05,8.882636639669585e-06,1.0932363062055112e-05,1.773398127141997e-05,3.904299353035769e-06,1.359165019088521e-05,9.638238597447775e-06,5.372389112282006e-06,5.822436074732869e-06,3.7962333439851926e-06,3.551014391189073e-05,2.1249821887152143e-05,1.94532857956755e-05,1.3667775812574588e-05,1.9535680138463634e-05,5.3639509277555544e-06,1.5336390689452647e-06,1.2751206486498236e-05,2.0493872042574695e-05,1.8024910721706713e-05,5.262200748450921e-05,3.3298346041360746e-05,2.7202201596505912e-05,1.692131097570828e-05,1.7364569588291743e-05,2.3113331919416947e-05,1.0972716522087217e-05,5.052642970782573e-06,2.2363034319568826e-05,1.4546857132829827e-05,2.1473068004872423e-05,1.3035234709918979e-05,1.6818338075546027e-05,2.290493188586388e-05,8.683316643062627e-06,7.459167635679382e-06,9.355481127547653e-06,6.972726130481067e-06,1.0112946810123433e-05,7.341414041227264e-06,1.2572126378999568e-05,1.4275005214088423e-05,2.850213305435087e-05,2.42365405849011e-05,4.504484950835351e-05,2.131198909720016e-05,3.11176564495963e-05,4.088170353797326e-05,3.0924389629639605e-05,3.108772343103227e-05,5.624984712895478e-05,1.056221458855327e-05,3.423024942990367e-05,3.668258150882992e-05,1.1407184901344926e-05,4.326941188351595e-05,3.871190209915128e-05,3.412881136787866e-05,1.938428444443791e-05,6.704379333744412e-06,2.83928629070883e-05,1.4556335539522983e-05,1.4196734785618905e-05,1.8195588552913224e-05,2.2222541760026077e-06,1.3104965884808148e-05,1.245743578879941e-05,8.644589560016455e-06,8.430932787893678e-06,1.0814419306169018e-05,3.656866427119367e-05,4.115918356761618e-06,1.8341737235880226e-05,1.2305240448286229e-05,9.018755338228671e-06,1.3539037878181292e-06,1.6690825605630263e-05,5.90095235579921e-06,7.834252612532302e-06,4.362824986761632e-06
(Fault) Bearing (1) Ball & Bearing (2) Inner Trial 18.plk,1,1.3427144242122826e-06,2.358695900665025e-06,2.984549969461445e-06,2.071355288446909e-06,1.6399292356164306e-06,6.395480272360101e-07,1.61862441333358e-06,1.0822030718689203e-06,3.2196711769097667e-06,1.8774183602594419e-06,2.3519261655911225e-05,2.7424129989302678e-05,8.424128827458859e-06,4.6504865501306314e-06,1.0104811615955944e-05,5.4730807537323745e-06,8.112359118702267e-06,1.6664491725796764e-06,1.05510735526775e-05,3.501877445927089e-06,5.666918191474346e-05,3.050199001023959e-05,2.196716778137014e-05,1.647181925562859e-05,5.18844955690961e-06,1.4125123654417371e-05,1.6728863156851393e-05,2.0637506248259356e-06,4.215348358944057e-06,6.926967226509573e-06,3.1925771557278845e-05,2.5658565976597614e-05,7.033889211278325e-06,3.864868252511663e-05,5.569213337693446e-06,2.2876803427932574e-05,7.0731847834890165e-06,2.5145195191838028e-06,1.4885023347971921e-05,2.8992053222350205e-06,1.6291897036348533e-05,2.7751603557884656e-05,1.1428132283523206e-05,1.451916446810104e-05,5.437338338728106e-06,2.3586390519469834e-05,2.1380518801809952e-05,3.678788017220644e-06,2.410603656983227e-06,1.755294773986181e-05,7.026871791455928e-06,4.800869384529378e-05,1.802628904554178e-05,1.0364409813540524e-05,1.7439984766758766e-05,1.760157645256457e-05,9.477430973922746e-06,1.8549746545525954e-05,2.5067534817350714e-05,2.5128073214831774e-05,1.8954889116159466e-05,1.6956800645393007e-05,1.1032908224214074e-05,8.313334556441479e-05,1.682949433646453e-05,2.032443455497719e-05,2.34508472342584e-05,1.6768055588332273e-05,1.1625790158177374e-05,5.129043563918781e-05,2.6933626875400484e-05,1.0404277957229643e-05,1.0710119942585145e-05,1.561358832650986e-05,6.706070362744151e-06,1.3396066477636821e-05,8.519416544226404e-06,9.246807532083827e-06,1.195845411209477e-06,1.2450236568195063e-05,2.385027579967935e-05,1.0926467896755303e-05,3.2172253757349744e-05,2.759946017595527e-06,7.216204365956066e-06,1.1876986586838664e-05,1.4295304718556617e-05,5.877017424721629e-06,3.3304615195388214e-06,8.297425157770203e-06
