file,label,Tachometer_harmonic_1_amplitude,Tachometer_harmonic_2_amplitude,Tachometer_harmonic_3_amplitude,Tachometer_harmonic_4_amplitude,Tachometer_harmonic_5_amplitude,Tachometer_harmonic_6_amplitude,Tachometer_harmonic_7_amplitude,Tachometer_harmonic_8_amplitude,Tachometer_harmonic_9_amplitude,Tachometer_harmonic_10_amplitude,Motor_harmonic_1_amplitude,Motor_harmonic_2_amplitude,Motor_harmonic_3_amplitude,Motor_harmonic_4_amplitude,Motor_harmonic_5_amplitude,Motor_harmonic_6_amplitude,Motor_harmonic_7_amplitude,Motor_harmonic_8_amplitude,Motor_harmonic_9_amplitude,Motor_harmonic_10_amplitude,Bearing 1 Z_harmonic_1_amplitude,Bearing 1 Z_harmonic_2_amplitude,Bearing 1 Z_harmonic_3_amplitude,Bearing 1 Z_harmonic_4_amplitude,Bearing 1 Z_harmonic_5_amplitude,Bearing 1 Z_harmonic_6_amplitude,Bearing 1 Z_harmonic_7_amplitude,Bearing 1 Z_harmonic_8_amplitude,Bearing 1 Z_harmonic_9_amplitude,Bearing 1 Z_harmonic_10_amplitude,Bearing 1 Y_harmonic_1_amplitude,Bearing 1 Y_harmonic_2_amplitude,Bearing 1 Y_harmonic_3_amplitude,Bearing 1 Y_harmonic_4_amplitude,Bearing 1 Y_harmonic_5_amplitude,Bearing 1 Y_harmonic_6_amplitude,Bearing 1 Y_harmonic_7_amplitude,Bearing 1 Y_harmonic_8_amplitude,Bearing 1 Y_harmonic_9_amplitude,Bearing 1 Y_harmonic_10_amplitude,Bearing 1 X_harmonic_1_amplitude,Bearing 1 X_harmonic_2_amplitude,Bearing 1 X_harmonic_3_amplitude,Bearing 1 X_harmonic_4_amplitude,Bearing 1 X_harmonic_5_amplitude,Bearing 1 X_harmonic_6_amplitude,Bearing 1 X_harmonic_7_amplitude,Bearing 1 X_harmonic_8_amplitude,Bearing 1 X_harmonic_9_amplitude,Bearing 1 X_harmonic_10_amplitude,Bearing 2 Z_harmonic_1_amplitude,Bearing 2 Z_harmonic_2_amplitude,Bearing 2 Z_harmonic_3_amplitude,Bearing 2 Z_harmonic_4_amplitude,Bearing 2 Z_harmonic_5_amplitude,Bearing 2 Z_harmonic_6_amplitude,Bearing 2 Z_harmonic_7_amplitude,Bearing 2 Z_harmonic_8_amplitude,Bearing 2 Z_harmonic_9_amplitude,Bearing 2 Z_harmonic_10_amplitude,Bearing 2 Y_harmonic_1_amplitude,Bearing 2 Y_harmonic_2_amplitude,Bearing 2 Y_harmonic_3_amplitude,Bearing 2 Y_harmonic_4_amplitude,Bearing 2 Y_harmonic_5_amplitude,Bearing 2 Y_harmonic_6_amplitude,Bearing 2 Y_harmonic_7_amplitude,Bearing 2 Y_harmonic_8_amplitude,Bearing 2 Y_harmonic_9_amplitude,Bearing 2 Y_harmonic_10_amplitude,Bearing 2 X_harmonic_1_amplitude,Bearing 2 X_harmonic_2_amplitude,Bearing 2 X_harmonic_3_amplitude,Bearing 2 X_harmonic_4_amplitude,Bearing 2 X_harmonic_5_amplitude,Bearing 2 X_harmonic_6_amplitude,Bearing 2 X_harmonic_7_amplitude,Bearing 2 X_harmonic_8_amplitude,Bearing 2 X_harmonic_9_amplitude,Bearing 2 X_harmonic_10_amplitude,Gearbox_harmonic_1_amplitude,Gearbox_harmonic_2_amplitude,Gearbox_harmonic_3_amplitude,Gearbox_harmonic_4_amplitude,Gearbox_harmonic_5_amplitude,Gearbox_harmonic_6_amplitude,Gearbox_harmonic_7_amplitude,Gearbox_harmonic_8_amplitude,Gearbox_harmonic_9_amplitude,Gearbox_harmonic_10_amplitude
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 1.plk,1,0.0005463593543716163,0.00048014365818979784,0.0004591760511083385,0.0004810663360021497,0.00044767902651572764,0.00045570797792611874,0.00041037777609259467,0.0004445397863228207,0.0003879364140677404,0.0004671030212856017,2.755899783836711e-05,2.404359244406657e-05,1.6504410101611195e-05,1.1334378600316528e-05,2.930151632737522e-06,9.065773964443967e-06,5.8795885766263144e-06,9.453078572274452e-06,4.331583201277988e-06,7.80534750059846e-06,7.613058865865797e-05,7.818300955602962e-06,2.9576383059512468e-05,1.4305402807731634e-05,9.603578118595924e-06,4.37842761052676e-06,1.467753449261205e-05,1.3556173950490102e-05,1.9569853487744167e-06,8.626529357504454e-06,3.669088058725445e-05,2.4857847723116306e-05,2.4741603730937207e-05,1.1277501727868069e-05,1.449294163253577e-05,6.194645181690836e-06,7.638001666355378e-06,1.199611713487417e-05,5.266623885070737e-06,3.461344544503724e-06,2.152882269426178e-05,2.717617521678635e-05,2.216481892888166e-05,6.054610218523944e-06,1.6214664138495075e-05,1.243014273816447e-05,1.0620975244645362e-05,9.286089393184747e-07,9.545077751587911e-06,6.692044315210084e-06,1.5797422664773994e-05,2.9677808125600543e-05,1.3425204945567473e-05,5.90405949387921e-06,5.678736810475566e-06,3.759991688483184e-06,3.870249244452145e-06,1.516705749112147e-06,1.0828222557997895e-05,2.8477595662168173e-06,1.930270945009722e-05,1.886982770355895e-05,1.1513940817678042e-05,9.085581454958133e-06,8.336366122267062e-06,5.043689369401271e-06,1.2417599819419416e-05,9.189232608579613e-06,1.2817569192516316e-05,8.241715138631098e-06,2.5830234215685334e-05,1.182192919084723e-05,1.3036789958322324e-05,1.4119685488334837e-05,4.2935991151664785e-06,1.301058461170399e-05,1.1638458257881805e-05,5.791143399229906e-06,6.3600077088092685e-06,6.034692004234717e-06,3.253392128135364e-05,2.0433126771928488e-05,3.343933835824813e-05,5.685439125660909e-06,1.8637190550487516e-05,3.0962213016987223e-06,1.0603886189788855e-05,9.366633516202395e-06,9.974733097377232e-06,5.329627665343142e-06
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 10.plk,1,0.0006432909421820391,0.0006464562548255257,0.0006824034299877947,0.0006395219797622792,0.0006590409341766143,0.0006361143747491626,0.0006431185160792125,0.0006617682824190328,0.0006611676136795433,0.0006797735851304046,3.212537926201741e-05,1.951363515231409e-05,1.5612238383362406e-05,7.566217387201798e-06,1.3721213469519628e-05,1.6703275125319183e-05,2.8749118193164964e-06,1.3753613298695212e-05,7.86256767441415e-06,8.560200120881518e-06,3.513126336341288e-05,4.294191033517389e-05,0.00012550571129423568,0.0001024389490473349,3.4983510002760876e-05,0.0001183433515152868,8.413998571647531e-05,3.848444100568024e-05,0.00011920871273919372,0.00012979512349735575,2.0075300800840528e-05,1.902147844515941e-05,2.724524321918316e-05,2.2695617698451445e-05,1.2294756785560408e-05,1.0028579891280991e-05,1.1695159160954956e-05,7.2452228252656505e-06,7.861735693434853e-06,1.4098057561071822e-06,1.7161990791594206e-05,2.5176183727309206e-05,1.7074083718858434e-05,1.0978222578833708e-05,9.475854719155176e-06,7.8134719697293e-06,9.096577099944893e-06,6.723669882942882e-06,1.343156636108149e-05,8.131866674287243e-06,1.3681189204610565e-05,3.957338847230256e-05,4.744146304811057e-06,9.160339451929136e-06,1.1972269190139419e-05,2.9215321945610166e-05,9.908897271861981e-06,7.543444559882421e-06,2.1492879757251475e-06,9.633379655600829e-06,3.2388230236357305e-05,2.2864385208588453e-05,1.7725501275630407e-05,5.808307022244604e-06,9.473814620287617e-06,8.225825019778648e-06,7.416375358510531e-06,8.909326313430475e-06,2.390170079264116e-06,7.175094924783886e-06,3.130218907204355e-05,8.936389144153278e-06,1.1890287660917487e-05,7.1505906785866195e-06,1.0888405374049232e-05,4.4924689091372875e-06,3.7204729879004606e-06,8.364071418968016e-06,4.329068057242763e-06,7.545699587863496e-06,9.995816021971908e-06,1.4342177886326792e-05,1.579409017512937e-05,5.188799631555107e-06,8.42683006392651e-06,1.6341986108434836e-05,8.255050559269594e-06,1.577059624756029e-05,5.980300627255987e-06,7.576767973623113e-06
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 11.plk,1,0.0019588027414935857,0.0019424043305020782,0.0019368007904494331,0.0019388894921718266,0.001922407886503979,0.0019338635846155052,0.001962965751161307,0.0019118379081922933,0.001894674320440742,0.0019448429009013585,2.7551851757183987e-06,2.4615231736705113e-05,1.0265883634989485e-05,6.414782751988282e-06,2.124762193515841e-05,5.757281103451404e-06,1.0150308461748451e-05,1.1872708422987873e-05,1.376041279248067e-05,8.925411153059358e-06,5.471301071317819e-05,8.624962438402066e-05,8.265858278935563e-05,0.000137894057084863,0.0001232037180996213,0.0001351921414638154,5.4569132800070025e-05,6.69232178520969e-05,8.656272553225397e-05,0.00011348138217445681,1.956131141072345e-05,2.3972301731016617e-05,1.4108885976989247e-05,1.551456252354025e-05,7.610397909661092e-06,1.101010317550364e-05,6.849495712540069e-06,7.080105220581704e-06,8.821642426749612e-06,6.824320976059348e-06,7.696036688973649e-06,2.207144245237415e-05,1.614788682330577e-05,6.055886158089588e-06,1.5295398371258017e-05,8.971902324931618e-06,6.840765764365798e-06,1.2752879043435196e-05,4.331647634091239e-06,4.899654525892995e-06,1.4279576554183e-05,1.750492864220418e-05,7.587005170151705e-06,1.58949601534316e-05,5.545246351715646e-06,1.2164365928859853e-05,8.064090606108714e-06,7.3748660576062125e-06,6.986054542625558e-06,3.848815597899962e-06,1.593530051675306e-05,2.1791808415254127e-05,2.2439010536765945e-05,1.5024986447705623e-05,1.57616671095534e-05,5.028725568787632e-06,1.077649536763673e-05,4.263601106650519e-06,1.4538826353773449e-06,7.244773500032586e-06,2.0720513546808395e-05,3.4412669235821513e-06,2.811782471070696e-06,8.165195098308706e-06,9.661589133945566e-06,2.0487470718040086e-05,4.632711104183823e-06,9.684322089090698e-06,2.4167208750475187e-06,4.2689953090939655e-06,8.431403142336955e-06,1.9752453199488354e-05,2.31047605034608e-05,2.3228887328921963e-06,5.1565102568573486e-06,8.871346138691745e-06,1.5610673752139733e-06,1.0922404536765482e-05,1.013458397556064e-05,2.5052781817073703e-06
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 12.plk,1,0.0006584709815513607,0.0006919878412101397,0.0007014394351711786,0.0006832844658488524,0.0006861116130911112,0.0006994649301036999,0.0007159258888509268,0.0006721150849911156,0.0006527775359807124,0.0006526462395764713,2.2778534838589535e-05,6.712765735384173e-06,6.982038280534471e-06,1.7310344602730007e-05,1.4496483680385645e-05,8.093475965464816e-06,1.5058736398281868e-05,1.0472778954191335e-05,1.063399410447025e-05,8.190771489107214e-06,9.661780336104278e-06,5.691245608364152e-05,1.4964199045564647e-05,5.961470518614684e-05,1.8849670959436765e-05,4.5040280845052e-05,3.490042341817631e-05,3.936173421683542e-05,4.1390932445530987e-05,4.1246571561858096e-05,2.5297885985372726e-05,1.5898661156073482e-05,1.8768689185686744e-05,7.835814577143297e-06,1.8797690636890918e-05,1.0807917133497714e-05,4.39509299348353e-06,7.571252779995826e-06,1.1265875126973839e-05,9.406406805459766e-06,3.758349714988587e-05,2.5192796647601614e-05,3.428426705276883e-05,1.4784732914729232e-05,8.48429079178116e-06,4.83608938627581e-06,1.100627555664163e-05,1.7410273689671076e-05,7.479057439754558e-06,1.1263011490071764e-05,1.643362426217521e-05,6.666466596144214e-06,1.9075209958152443e-05,1.2089489572484496e-06,1.9343373993123072e-05,1.6345462448351043e-05,1.3022083955652094e-05,1.2098436953645897e-05,7.724019447985532e-06,5.447412994956045e-06,2.0976593230251683e-05,1.4653083980917523e-05,5.7820196157691106e-06,2.1617523817611143e-05,1.2869308014187882e-05,6.43504885883372e-06,1.553008458918547e-05,5.589048795165361e-06,6.354052810819273e-06,8.241364460307025e-06,3.742992107365216e-05,1.2549178426576785e-05,8.725438317199102e-06,8.762425839114463e-06,1.0123743906478562e-05,1.4390422132474808e-05,1.1024776566805054e-05,1.1047289561409993e-05,6.777645562754348e-06,6.188134476901831e-06,3.0110426973058805e-05,2.1294989049580794e-05,1.73687480690215e-05,1.2064514449009449e-05,2.0161656033598358e-05,5.188665466194965e-06,3.432412004219479e-06,2.5656275020666336e-06,1.8078134261422684e-06,6.842156645762093e-06
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 13.plk,1,0.0002662290253746495,0.0002878573332183029,0.0002649975806156259,0.00026967665614628476,0.00026704009607879213,0.0002544269688000694,0.00031223404188694947,0.0002544792792664627,0.0002919362787968333,0.00029133119906420797,9.437948229476419e-06,1.3142097102664728e-05,1.3652935492693714e-05,2.1175509885691205e-06,7.324112141323265e-06,7.397165331856187e-06,1.3779647572223141e-05,3.4462666835907156e-06,9.597303365148469e-06,1.1858176078002733e-05,7.317191652906484e-05,5.3837391131467864e-05,5.220603487177224e-05,5.245013713755645e-05,7.703238731541999e-05,6.594913648240454e-05,0.00011029204439520902,6.789099488908382e-05,8.978730664140582e-05,2.9923076178812988e-05,5.9793938411785705e-05,3.0471926109380485e-05,1.614055596524191e-05,1.6679164565753667e-05,1.4446009766166857e-05,6.6825129033307815e-06,1.722585319487809e-05,9.459061300665521e-06,9.016839464215341e-06,9.162313410949423e-06,3.128375183243642e-05,3.3995445526030675e-05,3.329078840471806e-05,1.4613913008924542e-05,5.152762533793369e-06,1.227250469096695e-05,1.0418468346936467e-05,4.835326800815393e-06,1.7920455227211492e-06,1.830906638297311e-05,2.166473441937614e-05,2.476924266462412e-06,1.2123451252597322e-05,1.3099533425471076e-05,4.58835880474941e-06,5.8690768641878924e-06,4.953429229808605e-06,8.56270264331527e-06,4.230973257705673e-06,3.4286517209100167e-06,1.3896058497615733e-05,6.95952590580822e-06,8.015803600217408e-06,1.3935576705607981e-05,9.70291064288162e-06,3.848845748182571e-06,1.929588839197275e-06,9.052137070932494e-06,4.180964103278124e-06,3.4545272621830397e-06,3.337837527550812e-05,2.3694384903318342e-05,6.51302242982671e-06,3.223391983641681e-06,1.4977323241034002e-05,3.844932753485139e-06,5.94967321497526e-06,1.4246804503500077e-05,6.684094189283699e-06,5.381387042751424e-06,5.3150137589877084e-05,1.609950334951907e-05,6.953129181497094e-06,1.1194930366879452e-05,9.513401897266191e-06,6.311619766686524e-06,2.584378860084993e-05,1.2415085490949632e-05,8.352499645819087e-06,1.1299962829170533e-05
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 14.plk,1,6.930632140629141e-05,4.2945910766226376e-05,7.004933717671684e-05,5.814664213911789e-05,9.612427531356088e-05,7.017014619758239e-05,2.411126968523404e-05,8.089759852653634e-05,7.963800865485281e-05,4.421051578963788e-05,6.629465632067024e-06,2.552286357455572e-05,4.345173835891715e-06,1.8393486703931607e-05,2.8235360767100028e-05,2.2876679383070145e-05,8.31560022384092e-06,1.2785001513867494e-05,9.70365286552728e-06,8.375685219780846e-06,3.300861023666361e-05,5.9345182753010365e-05,6.29398284482816e-05,3.628496867690298e-05,3.096236683328733e-05,4.927837153991613e-05,2.1110542585360606e-05,4.1000936705366566e-05,3.4549728694562784e-05,1.0847423928163877e-05,4.104241288463551e-05,2.48733101517055e-05,1.513300231045098e-05,2.2874353322400002e-05,8.248760318909977e-06,1.045757638812776e-05,2.1854842084915217e-05,8.162988716442268e-06,1.6778977578396812e-06,9.526702332382044e-06,3.11010332910065e-05,6.871945861655182e-06,1.1841855364434199e-05,1.0137165421358492e-05,1.27020329544365e-05,7.448253667576643e-06,1.1648817775347017e-05,9.843793355330941e-06,2.371482806736962e-06,8.183626488043993e-06,3.7444665793334586e-06,1.2839484651344082e-05,7.343529773572832e-06,2.0636144385523394e-05,1.6135824967563836e-05,1.4713157079933399e-05,6.23960848302233e-06,1.840923372730372e-05,8.828506181429673e-06,1.074639347597719e-05,5.548472299970965e-05,2.42671606862681e-05,3.508834945797196e-06,1.2649469427396533e-05,5.359474096552509e-06,1.610774060746847e-05,8.929122174803398e-06,5.677012792574318e-06,1.4256763075681338e-05,1.0093409502363591e-05,1.7362489884109418e-05,5.283110731772774e-06,1.9730779239112786e-05,8.77806545672895e-07,1.4532338236771747e-05,7.222701800532662e-06,8.835338128711924e-06,8.24512544054309e-06,9.162238753620762e-06,2.101637653539514e-06,3.849806719372963e-05,5.1757323786087886e-05,3.102452843135207e-05,1.4064898549627238e-05,6.6814309927155115e-06,1.1433687974305588e-05,4.258074217350953e-06,3.7876821676102105e-06,4.679690008738777e-06,1.430991924304716e-05
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 15.plk,1,0.0001580920291393017,0.00014219132214787132,0.0001366477299801041,0.00016145550052555104,0.00014055253257381584,0.0001307445940445238,0.00010204695808606427,0.00014822177906589697,0.00014770087457620005,0.00019899905810714764,2.4645626509950976e-05,1.2349694464012707e-05,4.012232111782257e-05,1.342140986057366e-05,1.416405079187596e-05,1.3101228442537357e-05,1.2065786827735652e-05,6.480327450443101e-06,9.427621429039262e-06,1.2869347399822237e-05,4.405895838294902e-05,2.7667330879636025e-05,6.880540594631018e-05,3.6870961350824147e-05,1.3385833485261308e-05,2.169434106151002e-05,4.887447728829065e-05,2.5413995222719206e-05,1.5266462558187228e-05,2.528852077836387e-05,6.334593145585896e-05,1.83215005757152e-05,2.0477989145086535e-05,2.5113934509575946e-05,9.017090297574976e-06,1.7025470723591705e-05,1.2212486995903054e-05,1.22909481514652e-05,1.3164015648008927e-05,4.834787078016758e-06,5.262957233237302e-05,2.3893555435880744e-05,2.0097827924699377e-05,1.8058605764373337e-05,2.0527411923438425e-05,1.5030965523733932e-05,9.609139074016747e-06,6.410203953433953e-06,5.037664239731061e-06,1.6549987530016894e-05,1.390056341399368e-05,9.599410106058405e-07,2.2006438851017377e-05,2.2919466628805493e-05,6.288569817146154e-06,6.268838967482312e-06,1.219829334644977e-05,9.661379880827705e-06,5.073246686062461e-06,1.104187820903695e-06,2.353512018284571e-05,1.3881190149000174e-05,5.356372686993238e-06,1.0617448268305991e-05,2.8278981174227982e-05,1.0920200759632492e-05,1.3528242811223186e-05,9.24648488014814e-06,2.930584919812988e-06,3.233023812417568e-06,4.692471620027805e-05,9.314176826345108e-06,1.5324850681651604e-05,9.940967961406044e-06,1.2225284108287886e-05,5.592919191769146e-06,1.1829696761883534e-05,2.0760563681029226e-06,8.047527295071011e-06,8.97509778089792e-06,3.732379197846155e-05,1.628193648572136e-05,1.90056064473751e-05,1.1664642126679706e-05,1.8665390956500343e-05,1.3848254965042965e-05,1.4942329857152589e-05,2.5898285764330673e-06,2.6369591522459614e-06,1.0129739081607758e-05
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 16.plk,1,0.0001234980476343985,0.00011945890217883146,0.00011222980817498933,9.884176949657477e-05,0.00011487875458807148,0.00011368623384612601,5.9767069009848304e-05,0.00014355300602243788,0.00012767525894330162,0.00010187946385126517,1.754305467050695e-05,1.603054984715875e-05,1.736403184507727e-05,1.178692581779487e-05,1.4015250038935598e-05,3.167017046838936e-05,1.017813059348697e-05,6.085470885774457e-06,1.1826685137380928e-05,6.451651685486695e-06,0.00012478169117401315,0.00014853828544073266,0.0001834906951540086,0.00019025379813483945,0.00020638038476710897,0.00019110719734773403,0.00019221022786661715,0.00022193343921105002,0.0001781545618721497,0.00018550142457775116,1.2474517875748046e-05,2.7800661012750624e-05,8.593891421309348e-06,2.7177487178781502e-05,1.204411669863802e-05,9.398595597023519e-06,6.934337590845552e-06,6.163795383560787e-07,8.292278514631132e-06,6.40340621451851e-06,2.1016760603317745e-05,9.748540487668846e-06,2.5351665007348483e-05,4.872973423209207e-06,1.6807658871011857e-05,8.548783120182114e-06,2.156681810624028e-06,5.075210109906808e-06,1.7448588055796535e-05,4.430279514052285e-06,3.565120252116795e-05,1.159318002138266e-05,1.0834031084425791e-05,9.364700637846032e-06,7.815260579009897e-06,1.1342691295268893e-05,4.943360781814096e-06,1.176511554168994e-05,4.161026436207117e-06,1.2158465285350829e-06,4.119819369071872e-05,2.3641299667640237e-05,1.3397677595843556e-05,4.028934818365963e-06,1.6869574694574106e-05,1.3502416419350471e-05,1.9359010815682015e-06,6.9110495582920205e-06,3.7573567939956924e-06,6.6287437047766715e-06,3.590721874911723e-06,1.3800600029736853e-05,8.71953862061625e-06,7.451635418919726e-06,4.926143565743347e-06,8.409508812588429e-06,8.683420061202625e-06,8.562930631449394e-06,4.415586088370872e-06,4.510941715239278e-06,4.977725769356772e-05,2.8844966113058345e-05,1.4486561472966512e-05,6.5321171777235004e-06,9.276073947694045e-06,6.814424469684636e-06,9.593227601831272e-06,1.811540426966228e-05,7.919300211386048e-06,4.523447655790216e-06
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 17.plk,1,0.0003524132841088903,0.00034686003841221037,0.0003541423195484052,0.00030560337625051023,0.00034458744480836553,0.00032428619399482234,0.0003516614084514549,0.0003503949523600481,0.0003403339486621272,0.0003247947448366496,4.839676970743001e-05,2.4316644301711873e-05,1.355935374725588e-05,1.3270850497322327e-05,7.456949352055952e-06,1.414765349997561e-05,5.049253327521646e-06,4.743033939623607e-06,1.1550359040504131e-05,4.0785220352850075e-06,2.6397693572161222e-05,2.1008093064843852e-05,3.786460237245833e-05,2.205113924652951e-05,2.6526635313910942e-05,4.133160273338622e-05,3.838378847633619e-05,2.4455232413521407e-05,2.2276945067541137e-05,3.14763052681467e-05,4.29223903949146e-05,8.375159802707009e-06,8.771429883609293e-06,1.0744440861129318e-05,1.840513999344846e-05,1.3730627598954074e-05,6.990155218112245e-07,1.7149228972203963e-06,1.054412286005957e-05,1.2207548247208188e-05,3.35665701466765e-05,1.6198984527503203e-05,7.339779261978047e-06,2.555010703150803e-05,1.1624274447280158e-05,1.898130196767105e-05,6.6586761392079816e-06,5.058457687773352e-06,4.5816642453808306e-06,2.2716051728501726e-06,3.9546689997176376e-05,6.506769723859102e-06,1.48583075210408e-05,3.5772054576163084e-06,7.572313258063103e-06,4.70286381902914e-06,9.034163455277612e-06,9.3394058297947e-06,1.1116060916399854e-05,1.377497851476289e-05,5.7190568419133187e-05,4.848531074741021e-05,5.230437895717065e-06,1.884071414591299e-05,7.582576839708933e-06,8.885829742102521e-06,8.32480469395893e-06,1.0171839350127374e-05,9.193393718451999e-06,2.7357139506210678e-06,3.133188671748275e-05,1.3244866536890973e-05,2.610915674964445e-05,2.4592157277501486e-06,2.0770305926915354e-05,1.5107406846654849e-05,9.11670179248518e-06,2.911979445549756e-06,1.237878826754279e-05,6.278949899586171e-06,1.544342717834328e-05,6.353389908591054e-06,2.059724820160291e-05,1.53121842315487e-05,4.427366583650078e-06,1.0016379000145937e-05,9.162301754480621e-06,7.616439919150827e-06,3.3490781060347125e-06,1.0638228469184976e-05
(Fault) Bearing (1) Ball & Shaft Fault (Centerally bent) Trial 18.plk,1,0.00032778371368802415,0.0003625009504132712,0.0003152217448401854,0.00034978347183916534,0.0003534184696323135,0.00035076757004239153,0.0003491014655545848,0.0003680263926894,0.0003652281587321053,0.00042113522841950054,4.010517572701385e-05,1.3395452647848058e-05,2.312861092132733e-05,3.845537097433525e-06,1.772013533177937e-05,1.1959519536558216e-05,6.595855925834351e-06,1.3430353326188845e-05,1.013483256983164e-05,6.907400657957442e-06,9.403148817908831e-05,7.507060138956488e-05,9.808084794427629e-05,0.00011407525892764295,0.00012414878708353672,0.00012352560764650666,8.78658764812746e-05,0.00010046169129516178,0.00014503228227490648,0.0001434193289817035,2.0559449096459833e-05,4.61142626812477e-05,2.383041328527491e-05,1.4913583206506755e-05,2.790017948006597e-06,1.0845122034000418e-05,1.024141728570785e-05,7.294263568849674e-06,1.2451214572732246e-05,2.409592236712709e-06,2.7895762304506685e-05,4.286014449267767e-05,3.701144250021316e-06,1.4496585726970108e-05,4.791662651022314e-06,1.9048693071878036e-06,9.581684757889907e-06,1.5983160900533273e-05,1.2315990053761774e-05,8.2312242336924e-06,5.1621481035555904e-05,2.8129071206482592e-05,1.9884050954024106e-05,2.84354557072304e-05,9.916150119878694e-06,1.1649324762429695e-05,4.407579055932478e-06,6.727315111461554e-06,7.1664151502745045e-06,9.733491456029035e-06,3.80972104301286e-05,2.3978118743443582e-05,2.0708182737953762e-05,1.6771295777257215e-05,2.1884782541436526e-05,7.12660998254112e-06,9.72967098028056e-06,1.1209364043677401e-05,1.4724616153991511e-05,7.2296550467083866e-06,8.284196871649055e-06,9.064456125678353e-06,2.747990457551873e-05,1.206719466695596e-05,1.9228900877726628e-05,2.2063946511447346e-06,1.1041402037436123e-05,6.625199070683256e-06,4.248717332564907e-06,4.304672827156541e-06,3.2756667328147984e-05,2.7947674099382903e-05,2.492326895472173e-05,1.1824351188405861e-05,1.1870177207396846e-05,1.2212300370567699e-05,2.4677649627460848e-05,1.7719259250402447e-05,1.3311508513524143e-05,6.210998938362192e-06
