file,label,Tachometer_harmonic_1_amplitude,Tachometer_harmonic_2_amplitude,Tachometer_harmonic_3_amplitude,Tachometer_harmonic_4_amplitude,Tachometer_harmonic_5_amplitude,Tachometer_harmonic_6_amplitude,Tachometer_harmonic_7_amplitude,Tachometer_harmonic_8_amplitude,Tachometer_harmonic_9_amplitude,Tachometer_harmonic_10_amplitude,Motor_harmonic_1_amplitude,Motor_harmonic_2_amplitude,Motor_harmonic_3_amplitude,Motor_harmonic_4_amplitude,Motor_harmonic_5_amplitude,Motor_harmonic_6_amplitude,Motor_harmonic_7_amplitude,Motor_harmonic_8_amplitude,Motor_harmonic_9_amplitude,Motor_harmonic_10_amplitude,Bearing 1 Z_harmonic_1_amplitude,Bearing 1 Z_harmonic_2_amplitude,Bearing 1 Z_harmonic_3_amplitude,Bearing 1 Z_harmonic_4_amplitude,Bearing 1 Z_harmonic_5_amplitude,Bearing 1 Z_harmonic_6_amplitude,Bearing 1 Z_harmonic_7_amplitude,Bearing 1 Z_harmonic_8_amplitude,Bearing 1 Z_harmonic_9_amplitude,Bearing 1 Z_harmonic_10_amplitude,Bearing 1 Y_harmonic_1_amplitude,Bearing 1 Y_harmonic_2_amplitude,Bearing 1 Y_harmonic_3_amplitude,Bearing 1 Y_harmonic_4_amplitude,Bearing 1 Y_harmonic_5_amplitude,Bearing 1 Y_harmonic_6_amplitude,Bearing 1 Y_harmonic_7_amplitude,Bearing 1 Y_harmonic_8_amplitude,Bearing 1 Y_harmonic_9_amplitude,Bearing 1 Y_harmonic_10_amplitude,Bearing 1 X_harmonic_1_amplitude,Bearing 1 X_harmonic_2_amplitude,Bearing 1 X_harmonic_3_amplitude,Bearing 1 X_harmonic_4_amplitude,Bearing 1 X_harmonic_5_amplitude,Bearing 1 X_harmonic_6_amplitude,Bearing 1 X_harmonic_7_amplitude,Bearing 1 X_harmonic_8_amplitude,Bearing 1 X_harmonic_9_amplitude,Bearing 1 X_harmonic_10_amplitude,Bearing 2 Z_harmonic_1_amplitude,Bearing 2 Z_harmonic_2_amplitude,Bearing 2 Z_harmonic_3_amplitude,Bearing 2 Z_harmonic_4_amplitude,Bearing 2 Z_harmonic_5_amplitude,Bearing 2 Z_harmonic_6_amplitude,Bearing 2 Z_harmonic_7_amplitude,Bearing 2 Z_harmonic_8_amplitude,Bearing 2 Z_harmonic_9_amplitude,Bearing 2 Z_harmonic_10_amplitude,Bearing 2 Y_harmonic_1_amplitude,Bearing 2 Y_harmonic_2_amplitude,Bearing 2 Y_harmonic_3_amplitude,Bearing 2 Y_harmonic_4_amplitude,Bearing 2 Y_harmonic_5_amplitude,Bearing 2 Y_harmonic_6_amplitude,Bearing 2 Y_harmonic_7_amplitude,Bearing 2 Y_harmonic_8_amplitude,Bearing 2 Y_harmonic_9_amplitude,Bearing 2 Y_harmonic_10_amplitude,Bearing 2 X_harmonic_1_amplitude,Bearing 2 X_harmonic_2_amplitude,Bearing 2 X_harmonic_3_amplitude,Bearing 2 X_harmonic_4_amplitude,Bearing 2 X_harmonic_5_amplitude,Bearing 2 X_harmonic_6_amplitude,Bearing 2 X_harmonic_7_amplitude,Bearing 2 X_harmonic_8_amplitude,Bearing 2 X_harmonic_9_amplitude,Bearing 2 X_harmonic_10_amplitude,Gearbox_harmonic_1_amplitude,Gearbox_harmonic_2_amplitude,Gearbox_harmonic_3_amplitude,Gearbox_harmonic_4_amplitude,Gearbox_harmonic_5_amplitude,Gearbox_harmonic_6_amplitude,Gearbox_harmonic_7_amplitude,Gearbox_harmonic_8_amplitude,Gearbox_harmonic_9_amplitude,Gearbox_harmonic_10_amplitude
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 1.plk,1,0.001859018008417909,0.0015294966700097469,0.001606209919337022,0.001253309977424197,0.001969266515763921,0.002334134072538855,0.0016919696660909547,0.0019020949737122233,0.001612270073302644,0.0017460169249922048,3.10953235489144e-05,9.849428404454291e-06,8.410733581324291e-06,1.8586476671639543e-05,7.294247700693003e-06,4.652505372384366e-06,1.5364312885744803e-05,1.2879213529999865e-05,5.669447152307685e-06,7.4511698152887995e-06,5.781779086104775e-05,3.2261396664973046e-05,1.7392040599622746e-05,1.6715315863573495e-05,9.593335529031213e-06,1.9572891646611832e-05,7.055419302799496e-07,1.967738843230847e-05,1.229766203896935e-05,1.1648749360974986e-05,2.067373356138623e-05,5.3770206969778916e-05,1.1586327677847733e-05,1.093676025696315e-05,1.369659201812854e-05,9.78873823203863e-06,1.3280218253514501e-05,9.875299054082394e-06,7.873523382180778e-06,1.787431792321156e-05,2.078612959806012e-05,1.7810507966357424e-05,6.657836895433099e-06,1.2479375770589462e-05,1.4035932373462274e-05,1.5515700393690585e-05,1.4104518424167889e-05,2.940470899210552e-06,2.02468109850341e-06,7.938415632924165e-06,3.5051690595652814e-05,3.645730649250925e-05,1.3876370778327717e-05,6.509592359516439e-06,2.5658389831498554e-05,1.0398729870606674e-05,4.265278376560941e-06,4.4927624591519915e-06,5.9362753971590624e-06,5.6800641289486036e-06,1.4386749907405418e-05,3.945137851777991e-05,8.492101644723657e-06,1.8568943711514522e-05,9.088878821961045e-06,4.074000500304573e-06,1.641372294336245e-05,7.210498459488039e-06,2.56275888946211e-06,1.322107352951682e-05,5.251282265869678e-06,1.943060627436331e-05,1.5891939400871254e-05,1.3611517112751862e-05,8.486679871514912e-06,9.493815388227729e-06,2.497045458044904e-06,8.752080077540971e-06,4.8802738466358624e-06,5.3365624396992415e-06,3.719286860063052e-05,2.6779642575222644e-05,4.14024505461236e-06,1.1259208302721941e-05,1.4978905991362124e-06,4.9339785908421356e-06,8.232980412287833e-06,8.518342271534093e-06,6.0824530479423795e-06,1.1894666571603454e-05
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 10.plk,1,0.0013593228038418102,0.0014317526426565735,0.0011343701652457047,0.0016319064654028489,0.0012642636174965516,0.0008392956708800079,0.001414071952977299,0.0013160326641987294,0.000494632811314291,0.0009945385648595987,4.824033421460492e-05,1.7966301432315734e-05,1.8213841121939026e-05,2.7821386216945442e-05,7.185517800873677e-06,1.1915589654385574e-05,3.842381359006086e-06,1.2672813724795563e-05,4.224744579126449e-06,1.4501905339416355e-06,6.348239600772058e-05,1.9982146206022762e-05,5.407386017649576e-06,1.760573977585432e-05,1.702397909520196e-05,7.143066147176936e-06,5.579008837062627e-06,5.809925394359497e-06,8.445571245497172e-06,8.821929436222815e-06,1.4189754726111393e-05,2.9189776569658436e-05,1.893133935130571e-05,2.298860723494251e-05,1.3919923533865537e-05,3.927238117285197e-06,9.524566407900869e-07,7.938851857814869e-06,6.819100084934206e-06,9.245947313474298e-06,4.590413244701143e-05,4.948421982545167e-05,3.6117532832088e-06,6.206207712286175e-06,1.3567713226234826e-05,2.0577159326533644e-06,1.3660530439648182e-05,1.2347326359800725e-05,4.078059685777942e-06,2.0180438421017253e-06,6.4103108779702e-05,2.3192116154543497e-05,7.4868612762326045e-06,1.3396420665433167e-05,5.441714571957864e-06,6.271128359893768e-06,1.578071580692825e-05,3.0058669433093893e-06,1.3319690708966377e-05,1.30759975652689e-05,4.105898357059226e-05,1.9156633933143078e-05,2.9432222923841288e-05,1.4433353375321427e-05,1.0218390673125609e-05,2.7261326828788685e-06,3.5990030749163614e-06,4.3918833997646444e-06,7.645275942275596e-06,6.414761850928478e-06,2.0150893665288464e-05,1.4459764083174912e-05,1.9686110905525467e-05,6.275383851010327e-06,1.7181731727372813e-05,1.3765410290756147e-05,2.7042042357536337e-06,8.401593436576853e-06,8.782174417739415e-06,5.799770236452101e-06,3.5386525521794365e-05,1.376245736161295e-05,1.0612744384867886e-05,1.223503734781191e-05,5.340990779365963e-06,9.759337738712928e-06,6.305346534335114e-06,1.1703714917664224e-05,1.1256220600595524e-05,5.2605002138361694e-06
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 11.plk,1,0.00035565794303234004,0.0007878071923401104,0.0006491956895781103,0.0007181897459212364,0.00035790086006497163,0.0004089414713138876,0.0007388572342055421,9.587806297019687e-05,0.0003416960850617756,0.0006440854172783731,2.5688719062029573e-05,1.766081886443746e-05,7.67036211477831e-06,1.6241027799075246e-05,7.022878257580676e-06,1.5413613524743887e-05,1.0222173971759963e-05,1.2398597850529845e-05,1.6635653977087103e-06,3.048048025237974e-06,2.4454874735533827e-05,3.715237244181894e-05,2.4122199290109152e-05,1.7961582495197184e-05,8.113235601030703e-06,2.1068986008902407e-05,4.240089803354725e-06,2.897144688569659e-06,1.6328704579258432e-05,5.311426710162494e-06,3.2658421313965416e-05,2.16629001148743e-05,2.7719905174653334e-05,1.486821781037493e-05,7.151873460931794e-06,3.895642615195025e-06,1.473667772789751e-05,5.694942625569744e-06,9.398624996976882e-06,1.0172772771482577e-05,2.1910194780517658e-05,4.486730959247716e-06,9.581167103601741e-07,4.102192081793946e-06,1.0925408004392922e-05,6.8114220763239975e-06,2.7801551956005123e-05,7.6035303975895326e-06,1.0368238044306375e-05,1.4539960308052503e-06,5.836162422954268e-05,2.7317208041547602e-06,2.2646221256158492e-05,1.6773564321604315e-05,1.2811356023090401e-05,1.2014417106803453e-05,1.1272903602498398e-05,1.2127954665469086e-05,5.724548647352438e-06,1.168520565907821e-05,2.27523855021456e-05,3.4944041232917806e-05,2.024586304405398e-05,6.019614784848084e-06,9.677451423550222e-06,1.3388550021572612e-05,7.89620648767167e-06,1.1524098506491938e-05,2.000175181318386e-06,7.493851104243619e-06,1.2937609813314169e-05,1.5588978555170312e-05,4.383747991229884e-06,6.818910986440486e-06,1.5692789388560728e-05,8.153165751013981e-06,7.055077088129281e-06,3.60757276927394e-06,8.389510608137945e-06,1.5959214313231983e-06,2.5607774467224845e-05,1.2529518482606299e-05,1.3732899991669557e-05,1.9524332807749216e-05,1.3566165309581165e-05,9.489509922400515e-06,1.1689778808499882e-06,3.9538755170603684e-06,2.559760462612032e-06,7.4511043691863275e-06
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 12.plk,1,0.0007577893348307002,0.00039817555379734914,0.0005054722221745299,0.0003751087330937815,0.0010712627067772525,0.0007914294220956153,0.0007215893351360327,0.0004311306450766778,0.0006499002027900219,0.0005592104705866658,4.051865643360884e-05,5.0767713014512104e-06,6.542016194989441e-06,3.130332590761454e-05,8.594716299915713e-06,9.968787720177598e-06,1.64178841245833e-05,1.7237817301293605e-06,1.731226699546002e-06,4.938917664583001e-06,2.232292721903551e-05,1.6465464315342782e-05,9.07128720369771e-06,1.1204713898377083e-05,9.213894503301606e-06,9.166225461373702e-06,6.285979722180365e-06,4.7042782910630024e-06,1.4780133107029485e-05,3.684671173861087e-06,6.036880717843522e-05,3.021725781343522e-05,2.1284111077934074e-05,1.6597077235434225e-05,1.533881667496907e-05,7.345520365936448e-06,3.8902411888450885e-06,2.388133959520744e-06,8.333344596732474e-06,3.5298619658544973e-06,4.645963488256728e-05,1.4709735076538515e-05,1.5712770442758285e-05,5.091096930910607e-06,1.84164898912889e-06,1.1049547723890654e-05,1.0280887151329449e-05,3.5061429915164686e-06,6.308462435357295e-06,1.6324470573213224e-05,3.344168827269237e-05,1.781188395560348e-05,5.912884870237322e-06,1.8672405798202915e-06,6.0626849867542896e-06,6.678301258768551e-06,5.954664107434222e-06,2.2174290493904707e-06,1.527819601246071e-05,8.491843920253765e-06,3.0141695373805576e-05,3.415283466061255e-05,1.2112746203761256e-05,1.4008579938499964e-05,7.75283237196815e-06,4.2870832162565695e-07,9.912114745070915e-06,8.64977553726601e-06,1.2819418271219371e-05,2.5967958661880382e-06,2.6596132915542394e-05,1.5444488926808914e-05,1.3074185342364817e-05,1.1614983536285771e-05,1.3946999719157072e-05,5.1682903230120786e-06,2.280382465482063e-06,9.86372142485566e-06,6.348244795126724e-06,1.4773720980974427e-05,2.4017319718560977e-05,1.6721442936702607e-05,1.1386685444330756e-05,1.4528727167857506e-05,2.572430008555172e-05,2.0855067893009017e-05,1.5700194502692763e-05,6.622755041211384e-06,1.6926881666676008e-05,1.024738546621088e-05
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 13.plk,1,0.00033541720284191575,0.0005567657232786448,0.0004978477833362396,0.0003695654706884945,0.0005309590760235436,0.0005448595096394318,0.00030333442382911047,0.000623183965698732,0.0002229981931038856,0.000241157675718857,7.710509286128402e-06,8.057974883761697e-06,2.2124539367107594e-05,1.0646798529712046e-05,1.0261514530257909e-05,7.229441867083418e-06,5.667851843776249e-06,4.039895307513871e-06,8.180094656613788e-06,3.6636682152874438e-06,2.6401579397417753e-05,3.8170507325899805e-05,2.4018735345678384e-05,1.3263015197795808e-05,5.163190680719022e-06,4.831870095939199e-06,5.492518556224957e-06,5.936810562098738e-06,1.837584248980823e-06,6.154239060808852e-06,2.2271219387857494e-05,3.7454448751036e-05,2.305170912436103e-05,1.195654931004391e-05,1.0463496217887748e-05,1.616703535461803e-05,1.3791940036663422e-05,9.05377461228448e-06,1.3995641683524454e-05,1.103718092947125e-05,3.524758783988871e-05,3.769011310743596e-05,3.3552499025473254e-05,1.0950597104343244e-05,1.5454910675232867e-05,3.5259642344755546e-06,6.294904053927429e-06,4.396503633729722e-06,7.543497383767559e-06,8.384001738744136e-06,2.2138061574760824e-05,1.3014945596016208e-05,1.3632496360112498e-05,2.3897041547730204e-05,6.928204828918555e-06,1.0120478729701817e-05,8.256241480022544e-06,8.73958923776538e-06,8.363525189397311e-06,5.10391245114846e-06,3.247413102970019e-05,1.524634756780581e-05,3.226840974534769e-06,1.661990671391414e-05,1.82318398947692e-05,1.6803542371550583e-05,8.295248967278911e-06,3.28542980777479e-06,5.1558260795119654e-06,5.140575645633738e-06,3.179905075782668e-05,1.5734577336728062e-05,1.683966926547936e-05,3.231773256514641e-05,3.904467436293179e-06,4.430181120993263e-06,5.493916608564707e-06,5.371302004974312e-07,4.373093272778765e-06,7.775406957640181e-06,4.145065264009646e-05,2.5389496423871008e-05,1.340426018261365e-05,8.266264248414029e-06,1.4247988941699754e-05,1.400287946355741e-05,1.239514898014015e-05,6.759825150767863e-06,1.0433353218987943e-05,7.774471932050985e-07
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 14.plk,1,0.0014325899015684798,0.0010126223270547404,0.0003538474704838348,0.0004270251706317178,0.00046598321939122605,0.0003372382809433413,0.000545120173140311,0.0003140132145250453,0.00011157155408136776,0.00027968462411898624,6.492410770019133e-05,2.5800194056238486e-05,2.187010752162225e-05,1.8391227812734433e-05,3.169780418840259e-05,3.6187978204435214e-06,1.5587387770544815e-05,7.342831765012123e-06,4.761734553995985e-06,7.215978658879917e-06,5.135660716277155e-06,2.075798534308422e-05,2.449322452177154e-05,2.7014078944768256e-05,2.1001324776039966e-05,1.4286369268356866e-05,1.1113456706206451e-05,2.0043692471471566e-05,2.9396298101375803e-05,1.8201525856358804e-05,4.654560896553749e-05,3.307462337740177e-05,2.351803532656256e-05,1.720102562996304e-05,1.3360821390244074e-05,2.4536541269004654e-05,1.2568098870302298e-05,1.1002307808428022e-05,1.2719819533025977e-05,1.266871521466912e-05,4.524318404922948e-05,4.719650984629214e-06,4.1560997827887784e-06,1.3444800233893737e-05,1.0080261982522299e-05,1.2057867849859743e-05,8.223173163908474e-06,7.529652340023257e-06,9.379745391237075e-06,9.07996409467723e-06,4.021926997701931e-05,4.8806230913844354e-05,5.477898550965424e-06,8.50567437032662e-06,1.2710658721110085e-05,7.536014776008855e-06,1.1740253441200387e-05,4.248969058146737e-06,1.239833729638772e-05,6.135328899825848e-06,2.8846084156182854e-05,2.3352542684132603e-05,1.0636002976031383e-05,1.0898887361034044e-05,9.215220516757614e-06,9.113710485943836e-06,6.0552504027476105e-06,5.772677419736525e-06,8.417880609406095e-06,5.126629242035728e-06,6.0573984596879096e-05,2.4528377987125428e-05,1.5974460371360366e-06,5.637896503518203e-06,1.5249133494467688e-05,8.756775123311564e-06,7.357502741653047e-06,7.699965176806168e-06,7.2417160768689736e-06,6.7968331490699215e-06,2.0090145880247236e-05,4.346484243824215e-06,6.762381076372814e-06,9.74262290606274e-06,3.2583444301617437e-06,3.1288056845868044e-06,4.040746207129865e-06,2.960311629711877e-06,1.0021175244854948e-05,6.022675114578154e-06
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 15.plk,1,0.0010818785429200731,0.0007273955028427438,0.0006112535431655854,0.0010001092907926798,0.0007058573153924517,0.0012755023678054072,0.0008194388716538521,0.0012007262723180325,0.0007932770143826218,0.0010387946522710167,2.9354388992396956e-05,1.288250205079417e-05,1.7449679418161476e-05,1.2097184447179477e-05,1.450292846442251e-06,4.290062492422727e-06,8.905716294415282e-06,1.120768350488143e-05,3.6890899074703547e-06,9.224000051871144e-06,1.2626605033052954e-05,2.4076604213182963e-05,1.5388318063870986e-05,1.0196147449455429e-05,1.4752463468518055e-05,5.0797087505519966e-06,7.991922126916797e-06,9.981520465975996e-06,3.932436274912624e-06,1.5634338633665698e-05,3.333213602426514e-05,1.6693103364737685e-05,1.204577479319903e-05,5.29937274925256e-06,9.595547539386466e-06,1.3298712539193005e-05,9.077274395877522e-06,7.690716326375467e-06,6.008431125810072e-06,1.2110525267540829e-05,1.6795820807269474e-05,2.32097293966555e-05,1.2629771989937922e-05,1.2354728005503543e-05,1.934840146082618e-05,8.865913750194183e-06,5.917960577446665e-06,5.532583294539123e-06,7.944146712992426e-06,3.312167440546492e-06,2.093094910436239e-05,1.1149435844952513e-05,1.5491690792324982e-05,1.05992425717549e-05,8.7093550430165e-06,1.3464836088020571e-05,9.396658305828182e-06,5.4648461875290565e-06,3.476036967498322e-06,6.235057867918551e-06,3.922366549806139e-05,1.129854820116746e-05,9.475951930416778e-06,1.3210861784946255e-05,1.1495413151722023e-05,7.534700873039811e-06,8.941294016137184e-06,9.523696505313616e-06,2.16562147722529e-06,6.080638966978573e-06,4.716252276992947e-05,1.1662378529215062e-05,2.036973531147388e-05,2.3662523796279596e-06,1.1165578825956277e-05,1.0775081248007136e-05,7.039382391314408e-06,1.1062846764101196e-05,9.818879386515524e-06,7.929098650563441e-06,5.374546251559617e-05,2.028619072970677e-05,7.592408675643688e-06,7.941277669090682e-06,1.1574660628988086e-05,7.066979660059769e-06,2.52349239260925e-06,6.485694651677013e-06,1.0847934721177239e-05,1.3443113387933843e-05
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 16.plk,1,4.5152506357210384e-05,0.000646999804243557,0.0004720856709698589,0.0005304043648673151,0.00018533674598225478,0.000194868978412781,0.0001795082748207822,0.0006623683795263793,0.0002110475377929793,0.0005376165322307998,2.5289381443350438e-05,1.5033991458209951e-05,1.7010027541607654e-05,1.6453769371468037e-05,3.0278574443381098e-05,1.181281369848916e-06,1.4453601131359236e-05,1.1568005157761249e-05,7.62959350174625e-06,2.9292464417972702e-06,2.8779492455623026e-05,2.372044543510019e-05,6.0929628948040725e-06,1.041113931713499e-05,1.0106430259454078e-05,7.45736959749651e-06,5.528784672938435e-06,1.2697101069326379e-05,5.7999926451521295e-06,1.2274895649607623e-06,3.779770142458869e-05,9.684284495797088e-06,7.5094561383592756e-06,5.685797496333342e-06,3.6850066829354693e-06,6.4671858799392475e-06,7.750560521176325e-06,5.390433190356169e-06,6.123169695806025e-06,1.965913019018151e-05,2.0196859567138724e-05,1.2146697974903608e-05,1.2344214934045565e-05,1.166128092569031e-05,9.601784260728667e-06,6.443005703186688e-06,8.541999694180607e-06,9.517067257673908e-06,7.105966804035459e-06,9.611278833897308e-06,3.646557009008626e-05,2.1211600697290873e-05,1.4195029895512097e-05,1.5588024856239368e-05,7.827615714368123e-06,1.0242079507872791e-06,1.1691161243394817e-05,4.456864612032885e-06,1.079402400279332e-05,1.6529237453432036e-05,2.9226311206352424e-05,2.830085022701022e-05,8.31816552955209e-06,1.1900186103655128e-05,2.4773531740746034e-05,4.896548261782439e-06,3.906021903263722e-06,5.387928371817426e-06,1.0950217368453908e-05,1.925170924161253e-06,2.913140698854477e-05,5.2942170639225745e-06,6.511578556555223e-06,7.908417630056988e-06,7.619455765327253e-06,4.69104435737408e-06,4.782054885836845e-06,1.2555669619557592e-05,2.8058026517235295e-06,3.693865570692716e-06,3.304000637406969e-05,2.1435860018464535e-05,9.366433418028221e-06,1.2480769150654569e-05,3.8063407961189807e-06,1.8414915787900632e-06,6.278760006773729e-06,8.603360777563017e-06,3.084084622723859e-06,7.087225240808614e-06
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 17.plk,1,0.0007136551930123291,0.0004328407363882255,0.0008289855620923955,0.0008357747509956354,0.0002565178660243708,0.00010752687245155528,0.0005156817594114348,0.0006683115381063786,0.00032711290439700093,0.0005439871659161173,2.7029786488967128e-05,3.411073680222047e-05,2.343974402569689e-05,4.227374695684242e-06,1.378627411585705e-05,2.466066104774936e-05,1.945771128782448e-05,1.184720490736399e-05,7.1762139443952685e-06,1.3418597682596761e-05,1.8902868276833282e-05,3.4567328029674044e-05,1.6913183324236073e-05,1.129524189163417e-05,1.500075037416047e-05,5.978284260275705e-06,9.661509513888943e-06,1.0073633437302174e-05,8.325105706242849e-06,8.44387687365779e-06,6.345506933181352e-05,5.415261132882534e-05,1.65298962082258e-05,2.9365972651914346e-06,2.0505315092575113e-05,1.0166028011066774e-05,3.222262629400072e-06,1.0858824574699787e-05,1.5554465535192874e-05,5.096801025384803e-06,4.4183536885387676e-05,3.084276466626378e-05,8.146310821627011e-06,1.0204646902525302e-05,6.628468247416291e-06,1.863093291951153e-05,5.6402785112953245e-06,2.288805740561894e-06,2.6573019342645483e-06,7.176208138671256e-06,3.025315041306312e-05,1.3449170780991985e-05,1.4644198642959118e-05,1.5704898489561185e-05,1.0921261800237846e-05,3.1559036144539558e-06,9.326563808425963e-06,3.310322657544632e-06,7.2211590465437565e-06,2.8759289739961347e-06,2.6695024818041578e-05,4.221611209623e-05,4.2779021519043805e-06,4.48601041193777e-06,1.6281774875638893e-05,1.6902098648961885e-05,1.1948989098837585e-05,8.762310906735646e-06,7.266300295887592e-06,4.767684650205036e-06,1.2235225567797446e-05,1.4490226810088738e-05,2.03210240393777e-05,9.298051930015441e-06,1.7185699668185388e-06,7.925760663769107e-06,8.012850571235405e-06,1.3407713004354345e-05,1.1524474227196203e-05,3.505444949339173e-06,4.424882264748914e-05,1.674288661348789e-05,1.0267541945788615e-05,2.1312392803207646e-05,1.2323138220935125e-05,9.750709486507747e-06,1.0414251219151032e-05,4.562288663643386e-06,7.487902789477319e-06,2.7037153204201255e-06
(Fault) Bearing (1) Ball & Bearing (2) Outer Trial 18.plk,1,0.0008313318651418373,0.0010211034555370883,0.0008320170991975979,0.0007188869970179011,0.000728736870336413,0.00048009806633366565,0.0010841065735288967,0.0010200791205666122,0.0010409621888935287,0.0007077523427394543,1.6084005645454363e-05,1.6372812806735822e-05,1.1851114510565105e-05,5.450166125074594e-06,1.253353712397241e-05,1.1029887853154072e-05,1.5787162402742355e-06,8.456616277180714e-06,6.983366961311484e-06,9.861569729497035e-06,4.045628606684312e-05,9.172402904085112e-06,1.7620111596679056e-05,4.253172672902063e-06,1.3832491500816725e-06,1.953146556541596e-05,7.893231487080275e-06,8.242099247915245e-06,9.542842985873465e-06,8.807324666406942e-06,2.866365510962095e-05,1.028979105083551e-05,2.3880599782622316e-05,1.9090537384597076e-05,1.3541672968555703e-05,1.7679767945127277e-05,1.5332015930195776e-05,6.20926542939116e-06,3.764079335002193e-06,1.2010262113786752e-05,2.418545433149801e-05,5.264959132146704e-06,1.8001591135441015e-05,2.605124761024464e-05,1.660348802727999e-05,1.0910693222246657e-05,1.4341251280482562e-05,1.194328588487222e-05,3.449100296292883e-06,7.13426780057045e-06,1.0289471668607592e-05,3.862129533979479e-05,8.297664612225284e-06,1.7526455868342588e-05,2.2150891221360545e-05,8.435894804758965e-06,9.466892407193314e-06,1.8013065199236816e-05,1.7164909976156496e-05,1.626482263302166e-06,1.661969758329836e-05,7.1819091109892735e-06,7.88812911800261e-07,1.2626822635722212e-05,1.2322221428502275e-05,1.0362724269108295e-05,5.8037599774910676e-06,2.8829316611013326e-06,1.34366215431781e-05,8.074884123400067e-06,3.3116091658197856e-05,1.7335566007511635e-05,6.261218354377085e-06,1.4381559262950007e-05,1.6195928647955592e-05,2.586270811211153e-06,1.49348637395119e-05,5.423849890092479e-06,9.46567810816837e-06,5.008896176365769e-06,8.761673379470917e-06,3.088399667952773e-05,2.712727634548862e-05,1.8824731692165723e-05,8.978428028014519e-06,6.135856846252518e-06,1.448288948781674e-05,1.2651585414402999e-05,1.1098253472627196e-06,1.4633566843887741e-05
